year	words	indonesian_gloss	english_gloss	semantic_field	EngganoLanguage	EngganoSource	id	year_id	english_new	n_word	notes	note_year	note_id	note_etc
1879	ietebe	di atas	above	position	Enggano	Oudemans 1879	1	1879	above	1				
1891	itèbè	di atas	above	position	Enggano Kèfoe	Helfrich & Pieters 1891	1	1891	above	1				
1891	itèbè	di atas	above	position	Enggano Barohia	Helfrich & Pieters 1891	1	1891	above	1				
1894	itcébe	di atas	above	position	Enggano	Modigliani 1894	1	1894	above	1				
1895	itèbè ; dèbè	di atas	above	position	Enggano Pulau Dua 1895	Stockhof 1987	1	1895	above	2				
1987	itebe ; idebe	di atas	above	position	Enggano	Kähler 1987	1	1987K	above	2				
2011	ʔi-tem	di atas	above	position	Enggano Meok	Yoder 2011	1	2011	above	1				
2019	iteb	di atas	above	position	Enggano Elicitation	Aron 2019	1	2019	above	1				
1987	yapaua	di atas	above	position	Enggano	Kähler 1987	2	1987K	above	1				
2019	bak kareb	abses	abscess	diseases	Enggano Elicitation	Aron 2019	3	2019	abscess	1				Mod. loanword from Minang? cf. Malay barah
2011	ken	abses	abscess	diseases	Enggano Meok	Yoder 2011	4	2011	abscess	1				
1894	echienia	melimpah	abundant	quantity	Enggano	Modigliani 1894	5	1894	abundant	1			connection unclear	
1987	kikəʔəka	melimpah	abundant	quantity	Enggano	Kähler 1987	5	1987K	overfilled	1			connection unclear	
1891	aoenak² èabaa	kecelakaan	accident	other	Enggano Kèfoe	Helfrich & Pieters 1891	6	1891	accident	1				
1891	aoenak² èabaa	kecelakaan	accident	other	Enggano Barohia	Helfrich & Pieters 1891	6	1891	accident	1				
1891	pakoekoe	seberang	across	directions	Enggano Kèfoe	Helfrich & Pieters 1891	7	1891	about	1				
1891	pakoekoe	seberang	across	directions	Enggano Barohia	Helfrich & Pieters 1891	7	1891	about	1				
1987	pakũkũ hĩ	seberang	across	directions	Enggano	Kähler 1987	7	1987K	across	1				
1894	coda	mengadopsi anak	adopt a child	other	Enggano	Modigliani 1894	8	1894	adopt a child	1	likely a derivative of ara 'child', perhaps corresponding to Kähler hо̄ baʔara 'already have a child'	likely a derivative of <re><w>ara</w> <def>'child'</def></re>, perhaps corresponding to <re><ref>Kähler</ref> <w>hо̄ baʔara</w> <def>'already have a child'</def></re>		cf. give birth
1987	kaʔara	mengadopsi anak	adopt a child	other	Enggano	Kähler 1987	8	1987K	adopt a child	1				cf. give birth
1888	fanema	kapak	adze	tools	Enggano	Helfrich 1888	9	1888	adze	1				
1891	fanĕma	kapak	adze	tools	Enggano Kèfoe	Helfrich & Pieters 1891	9	1891	adze	1				
1891	panĕma	kapak	adze	tools	Enggano Barohia	Helfrich & Pieters 1891	9	1891	adze	1				
1987	epanõmãʔã	kapak	adze	tools	Enggano	Kähler 1987	9	1987K	adze	1				
1888	maho	takut	afraid	emotion	Enggano	Helfrich 1888	10	1888	afraid	1	This word belongs to Helfrich's ""second dialect""	""maho"" belongs to Helfrich's ""second dialect""		
1891	kahok²	takut	afraid	emotion	Enggano Kèfoe	Helfrich & Pieters 1891	10	1891	afraid	1				
1891	kahok²	takut	afraid	emotion	Enggano Barohia	Helfrich & Pieters 1891	10	1891	afraid	1				
1894	coeue	takut	afraid	emotion	Enggano	Modigliani 1894	10	1894	afraid	1				
1987	kahãhõ	takut	afraid	emotion	Enggano	Kähler 1987	10	1987K	afraid	1				
2011	kããh	takut	afraid	emotion	Enggano Meok	Yoder 2011	10	2011	afraid	1				
2019	kã'ãh	takut	afraid	emotion	Enggano Elicitation	Aron 2019	10	2019	afraid	1				
1888	kanik	takut	afraid	emotion	Enggano	Helfrich 1888	11	1888	afraid	1	This word belongs to Helfrich's ""first dialect""	""kanik"" belongs to Helfrich's ""first dialect""		
1987	ahō	setelah	after	function words	Enggano	Kähler 1987	12	1987K	after	1				
1895	kèkiĕ abŏdō	akhirat	afterlife	abstract things	Enggano Pulau Dua 1895	Stockhof 1987	13	1895	afterlife	1				
1895	kodanŏŏ	akhirat	afterlife	abstract things	Enggano Pulau Dua 1895	Stockhof 1987	14	1895	afterlife	1				
1895	kodāpākāhā	akhirat	afterlife	abstract things	Enggano Pulau Dua 1895	Stockhof 1987	15	1895	afterlife	1				
1891	apoi	sore	afternoon	time	Enggano Kèfoe	Helfrich & Pieters 1891	16	1891	afternoon	1				3 p.m._;_cf. evening
1891	apoi	sore	afternoon	time	Enggano Barohia	Helfrich & Pieters 1891	16	1891	afternoon	1				3 p.m._;_cf. evening
1891	kahainoafè	lagi	again	quantity	Enggano Kèfoe	Helfrich & Pieters 1891	17	1891	again	1				
1891	kahainoafè	lagi	again	quantity	Enggano Barohia	Helfrich & Pieters 1891	17	1891	again	1				
1987	kahinũãpẽ	lagi	again	quantity	Enggano	Kähler 1987	17	1987K	again	1				
1894	nuchi pecaia	lagi	again	quantity	Enggano	Modigliani 1894	18	1894	again	1				
1891	kièèo	lincah	agile	human features	Enggano Kèfoe	Helfrich & Pieters 1891	19	1891	agile	1				
1891	kièèo	lincah	agile	human features	Enggano Barohia	Helfrich & Pieters 1891	19	1891	agile	1				
