ID	Cognate ID	Year	Given as	Common transcription	IPA phonemic transcription	Indonesian	English	Original English gloss in source	Semantic field	Doculect info	Sources	Note for each year	Note for Cognate ID	Crossreference	PAN etymon	PAN English gloss	PAN source	PMP etymon	PMP English gloss	PMP source	Etymological sources	Concepticon gloss	Concepticon	Number of Cognates
1	1	1864	[fakka-]howdah	[fakka']ho:udah	[fakkaʔ]hɔudah	perempuan	woman/female		people	Enggano North	Walland 1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
2	1	1870	èhoda	Ehoda	ɛhoda	perempuan	woman/female		people	Enggano	Francis 1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
3	1	1878	[fakka-]howdah	[fakka-]ho:udah	[fakka-]hɔudah	perempuan	woman/female		people	Enggano Northwest	v. Rosenberg 1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
4	1	1879	éhoda ; éhoeda	ehOda ; ehuda	ehɔda ; ehuda	perempuan	woman/female	woman, female	people	Enggano	Oudemans 1879	éhoda  means 'woman' ; éhoeda   means 'female'	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
5	1	1888	hoda ; kahoda	hoda ; kahoda	hoda ; kahoda	perempuan	woman/female		people	Enggano	Helfrich 1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
6	1	1891	èhödĕ	Ehu̇dė	ɛhɨdə	perempuan	woman/female	woman, female	people	Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
7	1	1891	èhöda	Ehu̇da	ɛhɨda	perempuan	woman/female	woman, female	people	Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
8	1	1894	cahoda	kahoda	kahoda	perempuan	woman/female		people	Enggano	Modigliani 1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
9	1	1895	èhōda	Ehooda	ɛhoːda	perempuan	woman/female	woman, female	people	Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
10	1	1979	hiud	hiud	hiud	perempuan	woman/female		people	Enggano	Amran et al. 1979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
11	1	1982	hude	hudE	hudɛ	perempuan	woman/female		people	Enggano	Capell 1982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
12	1	1987	ehuda	ehuda	ehuda	perempuan	woman/female		people	Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
13	1	1987	[kakh] iudh	[kakʰ] iudʰ	[kakʰ] iudʰ	perempuan	woman/female	woman, female	people	Enggano Malakoni	Kasim et al. 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
14	1	1987	[kakh] iudh	[kakʰ] iudʰ	[kakʰ] iudʰ	perempuan	woman/female	woman, female	people	Enggano Banjar Sari	Kasim et al. 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
15	1	2011	hiɨr	hiu̇r	hiɨr	perempuan	woman/female		people	Enggano Meok	Yoder 2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
16	1	2019	hiėd	hiėd	hiәd	perempuan	woman/female		people	Enggano Elicitation	Aron 2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	https://concepticon.clld.org/parameters/2105	14
17	2	<1855	amama	amama	amama	laki-laki	man/male		people	Enggano	Brouwer <1855	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
18	2	1855	amamma	amamma	amamma	laki-laki	man/male		people	Enggano Northwest?	vd Straten & S. 1855	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
19	2	1864	[fakka-]manie	[fakka']manii	[fakkaʔ]maniː	laki-laki	man/male		people	Enggano North	Walland 1864	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
20	2	1870	emane	emane	emane	laki-laki	man/male		people	Enggano	Francis 1870	NA	NA	NA	? / *<a href=""https://acd.clld.org/cognatesets/28052"" target=""_blank"">ma-RuqaNay</a>	/ male	/ ACD	*<a href=""https://acd.clld.org/cognatesets/25144#s-657"" target=""_blank"">baRani</a> / *<a href=""https://acd.clld.org/cognatesets/28052#s-4939"" target=""_blank"">maRuqanay</a>	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	MALE (OF PERSON)	https://concepticon.clld.org/parameters/2261	13
