ID	Cognate ID	Year	Given as	Common transcription	Common transcription tokenised	IPA phonemic transcription	IPA phonmeic transcription tokenised	Indonesian	English	Original English gloss in source	Doculect info	Sources	Note for each year	Note for Cognate ID	Crossreference	PAN etymon	PAN English gloss	PAN source	PMP etymon	PMP English gloss	PMP source	Etymological sources	Concepticon gloss	Semantic field	Concepticon	Number of Cognates
1	1	1864	[fakka-]howdah	[fakka']ho:udah	[ f a k k a ' ] h o:u d a h	[fakkaʔ]hɔudah	[ f a k k a ʔ ] h ɔu d a h	perempuan	woman/female		Enggano North	Walland 1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
2	1	1870	èhoda	Ehoda	E h o d a	ɛhoda	ɛ h o d a	perempuan	woman/female		Enggano	Francis 1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
3	1	1878	[fakka-]howdah	[fakka-]ho:udah	[ f a k k a - ] h o:u d a h	[fakka-]hɔudah	[ f a k k a - ] h ɔu d a h	perempuan	woman/female		Enggano Northwest	v. Rosenberg 1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
4	1	1879	éhoda ; éhoeda	ehOda ; ehuda	e h O d a # ; # e h u d a	ehɔda ; ehuda	e h ɔ d a # ; # e h u d a	perempuan	woman/female	woman, female	Enggano	Oudemans 1879	éhoda  means 'woman' ; éhoeda   means 'female'	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
5	1	1888	hoda ; kahoda	hoda ; kahoda	h o d a # ; # k a h o d a	hoda ; kahoda	h o d a # ; # k a h o d a	perempuan	woman/female		Enggano	Helfrich 1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
6	1	1891	èhödĕ	Ehu̇dė	E h u̇ d ė	ɛhɨdə	ɛ h ɨ d ə	perempuan	woman/female	woman, female	Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
7	1	1891	èhöda	Ehu̇da	E h u̇ d a	ɛhɨda	ɛ h ɨ d a	perempuan	woman/female	woman, female	Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
8	1	1894	cahoda	kahoda	k a h o d a	kahoda	k a h o d a	perempuan	woman/female		Enggano	Modigliani 1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
9	1	1895	èhōda	Ehooda	E h oo d a	ɛhoːda	ɛ h oː d a	perempuan	woman/female	woman, female	Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
10	1	1979	hiud	hiud	h i u d	hiud	h i u d	perempuan	woman/female		Enggano	Amran et al. 1979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
11	1	1982	hude	hudE	h u d E	hudɛ	h u d ɛ	perempuan	woman/female		Enggano	Capell 1982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
12	1	1987	ehuda	ehuda	e h u d a	ehuda	e h u d a	perempuan	woman/female		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
13	1	1987	[kakh] iudh	[kakʰ] iudʰ	[ k a k ʰ ] # i u d ʰ	[kakʰ] iudʰ	[ k a k ʰ ] # i u d ʰ	perempuan	woman/female	woman, female	Enggano Malakoni	Kasim et al. 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
14	1	1987	[kakh] iudh	[kakʰ] iudʰ	[ k a k ʰ ] # i u d ʰ	[kakʰ] iudʰ	[ k a k ʰ ] # i u d ʰ	perempuan	woman/female	woman, female	Enggano Banjar Sari	Kasim et al. 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FEMALE PERSON	Kinship	https://concepticon.clld.org/parameters/2105	14
