ID	Cognate_ID	Year	Original_Form	Orthography	Ortho_Segments	IPA	IPA_Segments	Indonesian	English	English_Original	Doculect	Sources	Note_for_Year	Note_for_Cognate	Crossreference	PAN_Etymon	PAN_English	PAN_Source	PMP_Etymon	PMP_English	PMP_Source	Etymology_Source	Concepticon_Gloss	Semantic_Field	Concepticon	Number_of_Cognates
1	1	1879	ietebe	itebe	i t e b e	itebe	i t e b e	di atas	above		Enggano	Oudemans 1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
2	1	1891	itèbè	itEbE	i t E b E	itɛbɛ	i t ɛ b ɛ	di atas	above		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
3	1	1891	itèbè	itEbE	i t E b E	itɛbɛ	i t ɛ b ɛ	di atas	above		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
4	1	1894	itcébe	itcebe	i t c e b e	itt͡ʃebe	i t t͡ʃ e b e	di atas	above		Enggano	Modigliani 1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
5	1	1895	itèbè	itEbE	i t E b E	itɛbɛ	i t ɛ b ɛ	di atas	above		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
6	1	1895	dèbè	dEbE	d E b E	dɛbɛ	d ɛ b ɛ	di atas	above		Enggano Pulau Dua 1895	Stockhof 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
7	1	1987	itebe	itebe	i t e b e	itebe	i t e b e	di atas	above		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
8	1	1987	idebe	idebe	i d e b e	idebe	i d e b e	di atas	above		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
9	1	2011	ʔi-tem	'i-tEm	' i - t E m	ʔi-tɛm	ʔ i - t ɛ m	di atas	above		Enggano Meok	Yoder 2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
10	1	2019	iteb	iteb	i t e b	iteb	i t e b	di atas	above		Enggano Elicitation	Aron 2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	7
11	2	1987	yapaua	yapaua	y a p a u a	japaua	j a p a u a	di atas	above		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABOVE	Spatial relations	https://concepticon.clld.org/parameters/1741	1
12	3	2011	ken	kEn	k E n	kɛn	k ɛ n	abses	abscess		Enggano Meok	Yoder 2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BOIL (OF SKIN)	The body	https://concepticon.clld.org/parameters/793	1
13	4	2019	bak_kareb	bak_kareb	b a k _ k a r e b	bak_kareb	b a k _ k a r e b	abses	abscess		Enggano Elicitation	Aron 2019	NA	Mod. loanword from Minang?	cf. Malay barah	NA	NA	NA	NA	NA	NA	NA	BOIL (OF SKIN)	The body	https://concepticon.clld.org/parameters/793	1
14	5	1894	echienia	ekienia	e k i e n i a	ekienia	e k i e n i a	melimpah	abundant		Enggano	Modigliani 1894	NA	connection unclear	NA	NA	NA	NA	NA	NA	NA	NA	RICH	Possession	https://concepticon.clld.org/parameters/712	2
15	5	1987	kikəʔəka	kiku̇'u̇ka	k i k u̇ ' u̇ k a	kikɨʔɨka	k i k ɨ ʔ ɨ k a	melimpah	abundant	overfilled	Enggano	Kähler 1987	NA	connection unclear	NA	NA	NA	NA	NA	NA	NA	NA	RICH	Possession	https://concepticon.clld.org/parameters/712	2
16	6	1891	aoenak²_èabaa	auna'_Eabaa	a u n a ' _ E a b a a	aunaʔ_ɛabaa	a u n a ʔ _ ɛ a b a a	kecelakaan	accident		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
17	6	1891	aoenak²_èabaa	auna'_Eabaa	a u n a ' _ E a b a a	aunaʔ_ɛabaa	a u n a ʔ _ ɛ a b a a	kecelakaan	accident		Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
18	7	1891	pakoekoe	pakuku	p a k u k u	pakuku	p a k u k u	seberang	across	about	Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ACROSS	Spatial relations	https://concepticon.clld.org/parameters/2670	2
19	7	1891	pakoekoe	pakuku	p a k u k u	pakuku	p a k u k u	seberang	across	about	Enggano Barohia	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ACROSS	Spatial relations	https://concepticon.clld.org/parameters/2670	2
20	7	1987	pakũkũ_hĩ	pakũkũ_hĩ	p a k ũ k ũ _ h ĩ	pakũkũ_hĩ	p a k ũ k ũ _ h ĩ	seberang	across		Enggano	Kähler 1987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ACROSS	Spatial relations	https://concepticon.clld.org/parameters/2670	2
21	8	1894	coda	koda	k o d a	koda	k o d a	mengadopsi anak	adopt a child		Enggano	Modigliani 1894	likely a derivative of ara 'child', perhaps corresponding to Kähler hо̄ baʔara 'already have a child'	NA	cf. give birth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
22	8	1987	kaʔara	ka'ara	k a ' a r a	kaʔara	k a ʔ a r a	mengadopsi anak	adopt a child		Enggano	Kähler 1987	NA	NA	cf. give birth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
23	9	1888	fanema	fanema	f a n e m a	fanema	f a n e m a	kapak	adze		Enggano	Helfrich 1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ADZE	Basic actions and technology	https://concepticon.clld.org/parameters/290	4
24	9	1891	fanĕma	fanėma	f a n ė m a	fanəma	f a n ə m a	kapak	adze		Enggano Kèfoe	Helfrich & Pieters 1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ADZE	Basic actions and technology	https://concepticon.clld.org/parameters/290	4
