GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
woman/female	1	2105	FEMALE PERSON	2
man/male	2	2261	MALE (OF PERSON)	2
two	3	1498	TWO	2
fifty	4	1717	FIFTY	2
hand	5	1277	HAND	2
foot, leg	6	2098	FOOT OR LEG	2
three	7	492	THREE	2
lightning	8	1654	LIGHTNING	2
six	9	1703	SIX	2
five	10	493	FIVE	2
seven	11	1704	SEVEN	2
eight	12	1705	EIGHT	2
nine	13	1483	NINE	2
hundred	14	1634	HUNDRED	2
chest	15	1592	CHEST	2
father	16	1217	FATHER	2
four	17	1500	FOUR	2
one	18	1493	ONE	2
eye	19	1248	EYE	2
sun	20	1343	SUN	2
you (sg.)	21	1213	YOU	2
wind	22	960	WIND	2
he/she	23	2642	HE OR SHE	2
walk along the beach	24	2979	WALK (MANNER)	
rain	25	2108	RAINING OR RAIN	2
eat	26	1336	EAT	2
nose	27	1221	NOSE	2
child	28	2099	CHILD	2
daughter	29	1357	DAUGHTER	2
son	30	1620	SON	2
stand	31	1442	STAND	2
drink	32	1401	DRINK	2
die	33	1494	DIE	2
mother	34	1216	MOTHER	2
walk	35	1443	WALK	2
twenty	36	1710	TWENTY	2
fish (n.)	37	227	FISH	1
red	38	156	RED	2
ear	39	1247	EAR	2
light (not heavy)	40	1052	LIGHT (WEIGHT)	2
not	41	1240	NOT	2
yellow	42	1424	YELLOW	2
blue	43	837	BLUE	2
itch	44	3856	ITCH OR ITCHY OR ITCHING	2
live (v.)	45	1422	BE ALIVE	1
belly	46	1251	BELLY	2
white	47	1335	WHITE	2
thunder	48	1150	THUNDER	2
water	49	948	WATER	2
boat	50	1844	BOAT	2
finger	51	1303	FINGER	2
sweet	52	717	SWEET	2
moon	53	1313	MOON	2
old	54	1229	OLD	2
laugh	55	1355	LAUGH	2
heavy	56	1210	HEAVY	2
fire	57	221	FIRE	2
yes	58	1268	YES	2
mouth	59	674	MOUTH	2
steal	60	713	STEAL	2
do/make	61	2575	DO OR MAKE	2
speak	62	1623	SPEAK	2
buy	63	1869	BUY	2
stone	64	857	STONE	2
sleep	65	1585	SLEEP	2
kill	66	1417	KILL	2
star	67	1430	STAR	2
see	68	1409	SEE	2
hair	69	1040	HAIR	2
snake	70	730	SNAKE	2
person	71	683	PERSON	2
ten	72	1515	TEN	2
fifteen	73	1709	FIFTEEN	2
I	74	1209	I	2
house	75	1252	HOUSE	2
head	76	1256	HEAD	2
above	77	1741	ABOVE	2
abscess	78	793	BOIL (OF SKIN)	4
abundant	79	712	RICH	4
accident	80			
across	81	2670	ACROSS	2
adopt a child	82			
adze	83	290	ADZE	2
afraid	84	1419	FEAR (BE AFRAID)	2
after	85	1685	AFTER	2
afterlife	86			
afternoon	87	1807	AFTERNOON	2
again	88	204	AGAIN	2
agile	89			
air	90	27	AIR	2
all	91	98	ALL	2
allow	92	3238	ALLOW	2
ally	93			
almost	94			
almost faint	95	3616	FAINT (PASS OUT)	
almost invisible	96			
already	97	2576	ALREADY	2
always	98	1676	ALWAYS	2
ambush	99	65	AMBUSH	2
ancestor	100	1669	ANCESTORS	2
anchor (n.)	101	1870	ANCHOR	3
anchor (v.)	102	1870	ANCHOR	4
anchored	103			
and	104	1577	AND	2
angry	105	1826	ANGRY	2
ankle	106	803	ANKLE	2
annoy	107	2892	MAKE ANGRY (ANNOY)	2
answer (n.)	108	1275	ANSWER	4
answer (v.)	109	1275	ANSWER	1
ant	110	587	ANT	2
areca palm	111			
argue	112	3302	QUARREL (VERB)	2
arm	113	1673	ARM	2
arm bone	114	1394	BONE	
armpit	115	1886	ARMPIT	2
around	116	1443	WALK	4
arrange	117	1568	ARRANGE	2
arrived	118	1387	ARRIVE	
arrow	119	977	ARROW	2
as for ...	120			
ascend	121	705	GO UP (ASCEND)	2
ash	122	646	ASH	2
ask	123	1309	ASK (INQUIRE)	2
ask for	124	1828	ASK (REQUEST)	2
astonished	125	1572	SURPRISED	2
astrigent	126			
attic	127			
auger	128	3423	DRILL	4
aunt	129	1272	AUNT	2
aunt/uncle	130			4
awaken	131	3174	WAKE UP (SOMEONE)	2
axe	132	677	AXE	2
back (a.)	133	2323	BACK (PART)	4
back (n.)	134	1291	BACK	1
bad	135	1292	BAD	2
bait	136	2013	BAIT	2
bald	137	1125	BALD	2
bamboo	138	1927	BAMBOO	2
bamboo sprout	139			
banana	140	868	BANANA	2
banana leaves (dead)	141			
bark (n.)	142	1204	BARK	1
bark (v.)	143	1206	BARKING	3
basket	144	1539	BASKET	2
bat	145	1793	BAT	2
bath(room)	146	138	BATHE	4
bathe	147	138	BATHE	2
bay	148	663	BAY	2
be careful	149	2758	CAREFUL	4
be hit	150			4
be likeable	151			
be/there is	152	1579	BE	4
beach	153	3460	BEACH	2
bear	154	1820	BEAR	2
beard	155	678	BEARD	2
beard (long)	156	678	BEARD	4
beautiful	157	1427	BEAUTIFUL	2
because	158	1157	BECAUSE	2
become	159	1990	BECOME	2
bed	160	1663	BED	2
bedroom	161	2505	BEDROOM	2
bee	162	665	BEE	2
beetle	163	2242	BEETLE	2
before	164	1882	BEFORE	2
before (earlier)	165	373	LONG AGO	4
before (long time)	166	373	LONG AGO	4
begin (v.)	167	1806	BEGIN	3
behave	168			
behind	169	1686	BEHIND	2
believe	170	1890	BELIEVE	2
below	171	1485	BELOW OR UNDER	2
belt	172	772	BELT	2
Bengkulu	173			
betel leaf (Piper betle)	174			
better	175			
beware	176	2758	CAREFUL	
beyond Enggano	177			
big	178	1202	BIG	2
big toe	179	1389	TOE	
bird	180	937	BIRD	2
bird-catching net	181	2653	NET (FOR CATCHING)	
birth	182	2805	BIRTH (ACCOUCHEMENT)	2
bite	183	1403	BITE	2
bitter	184	887	BITTER	2
black	185	163	BLACK	2
black pepper	186	1385	PEPPER	
blanket	187	806	BLANKET	2
blessing	188	391	BLESS	
blind	189	1653	BLIND	2
blood	190	946	BLOOD	2
blow	191	176	BLOW (WITH MOUTH)	2
blunt	192	379	BLUNT	2
board (n.)	193	1227	BOARD	3
boat decoration (with leaves)	194	917	ORNAMENT	
body	195	1480	BODY	2
body hair	196	189	HAIR (BODY)	2
boil (intr.)	197	792	BOIL (OF LIQUID)	4
boil (n.)	198	793	BOIL (OF SKIN)	3
boil (tr.)	199	2492	BOIL (SOMETHING)	2
bolster	200			
bone	201	1394	BONE	2
border	202	2546	BORDER	2
