GLOSS	NUMBER
woman/female	1
man/male	2
two	3
fifty	4
hand	5
foot, leg	6
three	7
lightning	8
six	9
five	10
seven	11
eight	12
nine	13
hundred	14
chest	15
father	16
four	17
one	18
eye	19
sun	20
you (sg.)	21
wind	22
he/she	23
walk along the beach	24
rain	25
eat	26
nose	27
child	28
daughter	29
son	30
stand	31
drink	32
die	33
mother	34
walk	35
twenty	36
fish (n.)	37
red	38
ear	39
light (not heavy)	40
not	41
yellow	42
blue	43
itch	44
live (v.)	45
belly	46
white	47
thunder	48
water	49
boat	50
finger	51
sweet	52
moon	53
old	54
laugh	55
heavy	56
fire	57
yes	58
mouth	59
steal	60
do/make	61
speak	62
buy	63
stone	64
sleep	65
kill	66
star	67
see	68
hair	69
snake	70
person	71
ten	72
fifteen	73
I	74
house	75
head	76
above	77
abscess	78
abundant	79
accident	80
across	81
adopt a child	82
adze	83
afraid	84
after	85
afterlife	86
afternoon	87
again	88
agile	89
air	90
all	91
allow	92
ally	93
almost	94
almost faint	95
almost invisible	96
already	97
always	98
ambush	99
ancestor	100
anchor (n.)	101
anchor (v.)	102
anchored	103
and	104
angry	105
ankle	106
annoy	107
answer (n.)	108
answer (v.)	109
ant	110
areca palm	111
argue	112
arm	113
arm bone	114
armpit	115
around	116
arrange	117
arrived	118
arrow	119
as for ...	120
ascend	121
ash	122
ask	123
ask for	124
astonished	125
astrigent	126
attic	127
auger	128
aunt	129
aunt/uncle	130
awaken	131
axe	132
back (a.)	133
back (n.)	134
bad	135
bait	136
bald	137
bamboo	138
bamboo sprout	139
banana	140
banana leaves (dead)	141
bark (n.)	142
bark (v.)	143
basket	144
bat	145
bath(room)	146
bathe	147
bay	148
be careful	149
be hit	150
be likeable	151
be/there is	152
beach	153
bear	154
beard	155
beard (long)	156
beautiful	157
because	158
become	159
bed	160
bedroom	161
bee	162
beetle	163
before	164
before (earlier)	165
before (long time)	166
begin (v.)	167
behave	168
behind	169
believe	170
below	171
belt	172
Bengkulu	173
betel leaf (Piper betle)	174
better	175
beware	176
beyond Enggano	177
big	178
big toe	179
bird	180
bird-catching net	181
birth	182
bite	183
bitter	184
black	185
black pepper	186
blanket	187
blessing	188
blind	189
blood	190
blow	191
blunt	192
board (n.)	193
boat decoration (with leaves)	194
body	195
body hair	196
boil (intr.)	197
boil (n.)	198
boil (tr.)	199
bolster	200
bone	201
border	202
bore a hole	203
borrow	204
bow (n.)	205
bow down	206
bracelet	207
brain	208
branch	209
brave	210
break	211
break (intr.)	212
break off (intr.)	213
break off (tr.)	214
break rules	215
breast	216
breast milk	217
breastbone	218
breastfeed	219
breath	220
breathe	221
brew	222
bridge	223
bright	224
bring	225
bring up (child)	226
broken	227
broken (separated)	228
broom	229
brother	230
bubble up (hot water)	231
bud	232
bullet	233
bumblebee	234
bump into	235
bun (hair)	236
bundle	237
burn (intr.)	238
burn (tr.)	239
bury	240
bush	241
but	242
butterfly	243
buttocks	244
buttress root	245
by (near)	246
cage	247
cake	248
calf	249
call	250
calm	251
can	252
canal (small)	253
cannon	254
care for spouse of deceased	255
carrion	256
carry on back	257
carry on hip	258
carry on shoulders with a carrying pole	259
carve	260
cassava/yam/tuber	261
cassava/yam/tuber (Manihot utilissima)	262
cast rope	263
casting net	264
castrated	265
cat	266
catch	267
catch (water)	268
caterpillar	269
cause of disease	270
ceiling beam	271
centipede	272
certain	273
chalk	274
change	275
chaotic	276
charcoal	277
chase (away)	278
cheap	279
cheek	280
chew	281
chicken	282
chili	283
chin	284
Chinese	285
chirp	286
chisel (n.)	287
choose	288
chop (up)	289
cigarette	290
cigarette paper	291
citrus	292
civet	293
clan head	294
clay	295
clean (a.)	296
clean burned wood	297
clear	298
clearing (in forest)	299
clever	300
cliff	301
climb	302
climb up tree	303
clitoris	304
clobber	305
clock	306
close (v.)	307
close eyes	308
