originals	tokenized	transliterated
akiaki	a k i a k i	a k i a k i
abea	a b e a	a b e a
tahOua	t a h Ou a	t a h o:u a
[juba']bEri'bErri	[ j u b a ' ] b E r i ' b E r r i	[ y u b a ' ] b E r i ' b E r r i
parakidai	p a r a k i d ai	p a r a k i d a:i
yu['adudu]	y u [ ' a d u d u ]	y u [ ' a d u d u ]
buka'kuka	b u k a ' k u k a	b u k a ' k u k a
E'wa	E ' w a	E ' w a
OkO	O k O	O k O
kOko	k O k o	k O k o
kili'kili	k i l i ' k i l i	k i l i ' k i l i
kOkaiO	k O k ai O	k O k a:i O
kOnini	k O n i n i	k O n i n i
a'fo	a ' f o	a ' f o
kEle'lEya	k E l e ' l E y a	k E l e ' l E y a
kalEkOkO	k a l E k O k O	k a l E k O k O
ufah	u f a h	u f a h
kO'au kakuka	k O ' au k a k u k a	k O ' a:o // k a k u k a
tOb	t O b	t O b
prOba	p r O b a	p r O b a
wafo	w a f o	w a f o
kaliha	k a l i h a	k a l i h a
lOpo	l O p o	l O p o
apas'afah	a p a s ' a f a h	a p a s ' a f a h
baka	b a k a	b a k a
amama	a m a m a	a m a m a
pafuru	p a f u r u	p a f u r u
kakOliaw	k a k O l i aw	k a k O l i a:u
Obi'Obi	O b i ' O b i	O b i ' O b i
kO'au	k O ' au	k O ' a:o
liba	l i b a	l i b a
E'ai	E ' ai	E ' a:i
kO'On	k O ' O n	k O ' O n
afa	a f a	a f a
payuka	p a y u k a	p a y u k a
kwe'kwe	k w e ' k w e	k w e ' k w e
amimi	a m i m i	a m i m i
[mOkO']dObO	[ m O k O ' ] d O b O	[ m O k O ' ] d O b O
[panuku'am]dObO	[ p a n u k u ' a m ] d O b O	[ p a n u k u ' a m ] d O b O
hano	h a n o	h a n o
udu	u d u	u d u
pu'à'fo	p u ' à ' f o	p u ' a ' f o
ulu	u l u	u l u
juba['bEri'bErri]	j u b a [ ' b E r i ' b E r r i ]	y u b a [ ' b E r i ' b E r r i ]
yuba	y u b a	y u b a
praauw	p r a au w	p r a a:o w
E'au	E ' au	E ' a:o
kEfo	k E f o	k E f o
leaO	l e a O	l e a O
puru['takah]	p u r u [ ' t a k a h ]	p u r u [ ' t a k a h ]
fikO'fikO	f i k O ' f i k O	f i k O ' f i k O
kalikOkO	k a l i k O k O	k a l i k O k O
mOna	m O n a	m O n a
payih	p a y i h	p a y i h
amama	a m a m a	a m a m a
mOkO['dObO]	m O k O [ ' d O b O ]	m O k O [ ' d O b O ]
kurO'bakka	k u r O ' b a k k a	k u r O ' b a k k a
mOna	m O n a	m O n a
nika'nika(?)	n i k a ' n i k a ( ? )	n i k a ' n i k a ( ? )
kīa	k ī a	k ii a
kakOa	k a k O a	k a k O a
kaha	k a h a	k a h a
fu'à'no	f u ' à ' n o	f u ' a ' n o
kOle['lOfo]	k O l e [ ' l O f o ]	k O l e [ ' l O f o ]
alima'afah	a l i m a ' a f a h	a l i m a ' a f a h
panO'panO	p a n O ' p a n O	p a n O ' p a n O
uji	u j i	u y i
hai	h ai	h a:i
luhu	l u h u	l u h u
uji	u j i	u y i
kaka	k a k a	k a k a
pfuai	p f u ai	p f u a:i
taka	t a k a	t a k a
abi'abi	a b i ' a b i	a b i ' a b i
biO'biO	b i O ' b i O	b i O ' b i O
liwo	l i w o	l i w o
hO'ah	h O ' a h	h O ' a h
OmE'OmE	O m E ' O m E	O m E ' O m E
[kOa']piju	[ k O a ' ] p i j u	[ k O a ' ] p i y u
fae	f ae	f a:e
nako'nako	n a k o ' n a k o	n a k o ' n a k o
bilOa	b i l O a	b i l O a
kOkOa	k O k O a	k O k O a
lOfo'frOba	l O f o ' f r O b a	l O f o ' f r O b a
alina'aduwa	a l i n a ' a d u w a	a l i n a ' a d u w a
kakOnini	k a k O n i n i	k a k O n i n i
akEkEna	a k E k E n a	a k E k E n a
bahua	b a h u a	b a h u a
fOke'fOke	f O k e ' f O k e	f O k e ' f O k e
apilhOa	a p i l h O a	a p i l h O a
fuka	f u k a	f u k a
pakO'pakO	p a k O ' p a k O	p a k O ' p a k O
amaya	a m a y a	a m a y a
kahaa	k a h a a	k a h a a
pOkia	p O k i a	p O k i a
tafulu	t a f u l u	t a f u l u
kulu	k u l u	k u l u
lahu	l a h u	l a h u
minO'ai	m i n O ' ai	m i n O ' a:i
dio	d i o	d i o
nini	n i n i	n i n i
kOa['piju]	k O a [ ' p i j u ]	k O a [ ' p i y u ]
Okoa	O k o a	O k o a
aduwa	a d u w a	a d u w a
kīma	k ī m a	k ii m a
lEbO'lEbO	l E b O ' l E b O	l E b O ' l E b O
kiu	k i u	k i u
adudu	a d u d u	a d u d u
[yu']adudu	[ y u ' ] a d u d u	[ y u ' ] a d u d u
