entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
17	<1855	Brouwer <1855	2	<1855	amama	amama	a m a m a	amama	a m a m a
35	<1855	Brouwer <1855	3	<1855	adoewa	aduwa	a d u w a	aduwa	a d u w a
61	<1855	Brouwer <1855	5	<1855	poe-à-foh	pu-a-fo	p u - a - f o	pu-a-fo	p u - a - f o
75	<1855	Brouwer <1855	6	<1855	e-ai	E'a:i	E ' a:i	ɛʔai	ɛ ʔ ai
89	<1855	Brouwer <1855	7	<1855	koeloe	kulu	k u l u	kulu	k u l u
105	<1855	Brouwer <1855	8	<1855	mona	mOna	m O n a	mɔna	m ɔ n a
109	<1855	Brouwer <1855	9	<1855	akekena	akEkEna	a k E k E n a	akɛkɛna	a k ɛ k ɛ n a
125	<1855	Brouwer <1855	10	<1855	liba	liba	l i b a	liba	l i b a
143	<1855	Brouwer <1855	11	<1855	alina-adoewa	alina-aduwa	a l i n a - a d u w a	alina-aduwa	a l i n a - a d u w a
158	<1855	Brouwer <1855	12	<1855	apas-afah	apax-afah	a p a x - a f a h	apaç-afah	a p a ç - a f a h
172	<1855	Brouwer <1855	13	<1855	alima-afah	alima-afah	a l i m a - a f a h	alima-afah	a l i m a - a f a h
206	<1855	Brouwer <1855	16	<1855	amama	amama	a m a m a	amama	a m a m a
221	<1855	Brouwer <1855	17	<1855	afa	afa	a f a	afa	a f a
238	<1855	Brouwer <1855	18	<1855	hai	ha:i	h a:i	hai	h ai
256	<1855	Brouwer <1855	19	<1855	baka	baka	b a k a	baka	b a k a
274	<1855	Brouwer <1855	20	<1855	kahaa	kahaa	k a h a a	kahaa	k a h a a
297	<1855	Brouwer <1855	22	<1855	kioe	kiu	k i u	kiu	k i u
320	<1855	Brouwer <1855	25	<1855	liwoh	liwo	l i w o	liwo	l i w o
339	<1855	Brouwer <1855	27	<1855	pano-pano	panO-panO	p a n O - p a n O	panɔ-panɔ	p a n ɔ - p a n ɔ
445	<1855	Brouwer <1855	38	<1855	ko-au	kO-a:o	k O - a:o	kɔ-ao	k ɔ - ao
464	<1855	Brouwer <1855	40	<1855	kaliha	kalixa	k a l i x a	kaliça	k a l i ç a
556	<1855	Brouwer <1855	49	<1855	lahoe	lahu	l a h u	lahu	l a h u
565	<1855	Brouwer <1855	50	<1855	lebo-lebo	lEbO-lEbO	l E b O - l E b O	lɛbɔ-lɛbɔ	l ɛ b ɔ - l ɛ b ɔ
583	<1855	Brouwer <1855	51	<1855	tahoua	taho:ua	t a h o:u a	tahɔua	t a h ɔu a
614	<1855	Brouwer <1855	54	<1855	mona	mOna	m O n a	mɔna	m ɔ n a
635	<1855	Brouwer <1855	58	<1855	obi-obi	Obi-Obi	O b i - O b i	ɔbi-ɔbi	ɔ b i - ɔ b i
701	<1855	Brouwer <1855	65	<1855	pako-pako	pakO-pakO	p a k O - p a k O	pakɔ-pakɔ	p a k ɔ - p a k ɔ
715	<1855	Brouwer <1855	68	<1855	apilhoa	apilhOa	a p i l h O a	apilhɔa	a p i l h ɔ a
722	<1855	Brouwer <1855	70	<1855	oedoe	udu	u d u	udu	u d u
741	<1855	Brouwer <1855	72	<1855	taka	taka	t a k a	taka	t a k a
759	<1855	Brouwer <1855	73	<1855	tafoeloe	tafulu	t a f u l u	tafulu	t a f u l u
792	<1855	Brouwer <1855	76	<1855	djoeba[-beri-berri] ; joeba	juba[-bEri-bErri] ; yuba	j u b a [ - b E r i - b E r r i ] # ; # y u b a	d͡ʒuba[-bɛri-bɛrri] ; juba	d͡ʒ u b a [ - b ɛ r i - b ɛ r r i ] # ; # j u b a
810	<1855	Brouwer <1855	77	<1855	oeloe	ulu	u l u	ulu	u l u
971	<1855	Brouwer <1855	132	<1855	akiaki	akiaki	a k i a k i	akiaki	a k i a k i
1107	<1855	Brouwer <1855	173	<1855	abeha	abEha	a b E h a	abɛha	a b ɛ h a
