entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
430	1878	v. Rosenberg 1878	146	1878	kudei	kude:i	k u d e:i	kudɛi	k u d ɛi
584	1878	v. Rosenberg 1878	174	1878	kimona	kimona	k i m o n a	kimona	k i m o n a
596	1878	v. Rosenberg 1878	178	1878	lohah	lohah	l o h a h	lohah	l o h a h
846	1878	v. Rosenberg 1878	255	1878	pahgélie	pahkeli	p a h k e l i	pahkeli	p a h k e l i
987	1878	v. Rosenberg 1878	302	1878	amah	amah	a m a h	amah	a m a h
1010	1878	v. Rosenberg 1878	306	1878	harah	harah	h a r a h	harah	h a r a h
1023	1878	v. Rosenberg 1878	307	1878	kahpa	kahpa	k a h p a	kahpa	k a h p a
1472	1878	v. Rosenberg 1878	466	1878	harah-howdah ; farah-howdah	harah-ho:udah ; farah-ho:udah	h a r a h - h o:u d a h # ; # f a r a h - h o:u d a h	harah-hɔudah ; farah-hɔudah	h a r a h - h ɔu d a h # ; # f a r a h - h ɔu d a h
1583	1878	v. Rosenberg 1878	516	1878	kaä	ka'a	k a ' a	kaʔa	k a ʔ a
1664	1878	v. Rosenberg 1878	543	1878	pafrin	pafrin	p a f r i n	pafrin	p a f r i n
1737	1878	v. Rosenberg 1878	562	1878	indjo	injo	i n j o	ind͡ʒo	i n d͡ʒ o
1788	1878	v. Rosenberg 1878	579	1878	kalila	kalila	k a l i l a	kalila	k a l i l a
1871	1878	v. Rosenberg 1878	595	1878	fakinono	fakinono	f a k i n o n o	fakinono	f a k i n o n o
1889	1878	v. Rosenberg 1878	602	1878	alieba-akelu	aliba-akelu	a l i b a - a k e l u	aliba-akelu	a l i b a - a k e l u
2023	1878	v. Rosenberg 1878	656	1878	bahka	bahka	b a h k a	bahka	b a h k a
2108	1878	v. Rosenberg 1878	682	1878	amah	amah	a m a h	amah	a m a h
2187	1878	v. Rosenberg 1878	706	1878	tahapulu-alieba	tahapulu-aliba	t a h a p u l u - a l i b a	tahapulu-aliba	t a h a p u l u - a l i b a
2198	1878	v. Rosenberg 1878	709	1878	aduai-takka-kahei-pulu	adua:i-takka-kahe:i-pulu	a d u a:i - t a k k a - k a h e:i - p u l u	aduai-takka-kahɛi-pulu	a d u ai - t a k k a - k a h ɛi - p u l u
2237	1878	v. Rosenberg 1878	722	1878	minu-afa	minu-afa	m i n u - a f a	minu-afa	m i n u - a f a
2268	1878	v. Rosenberg 1878	729	1878	obi	obi	o b i	obi	o b i
2310	1878	v. Rosenberg 1878	741	1878	kaiwau	ka:iwa:u	k a:i w a:u	kaiwau	k ai w au
2332	1878	v. Rosenberg 1878	753	1878	alieba	aliba	a l i b a	aliba	a l i b a
2461	1878	v. Rosenberg 1878	798	1878	ah	ah	a h	ah	a h
2538	1878	v. Rosenberg 1878	820	1878	aopa	aopa	a o p a	aopa	a o p a
2924	1878	v. Rosenberg 1878	950	1878	puru-ulu	puru-ulu	p u r u - u l u	puru-ulu	p u r u - u l u
2949	1878	v. Rosenberg 1878	956	1878	afa	afa	a f a	afa	a f a
3024	1878	v. Rosenberg 1878	982	1878	dé	de	d e	de	d e
3032	1878	v. Rosenberg 1878	984	1878	ulu	ulu	u l u	ulu	u l u
3081	1878	v. Rosenberg 1878	999	1878	nua	nua	n u a	nua	n u a
3220	1878	v. Rosenberg 1878	1049	1878	ubah	ubah	u b a h	ubah	u b a h
3271	1878	v. Rosenberg 1878	1062	1878	aliemai-takka	alima:i-takka	a l i m a:i - t a k k a	alimai-takka	a l i m ai - t a k k a
3330	1878	v. Rosenberg 1878	1076	1878	ua	ua	u a	ua	u a
3444	1878	v. Rosenberg 1878	1111	1878	kiohameh	kiohameh	k i o h a m e h	kiohameh	k i o h a m e h
3565	1878	v. Rosenberg 1878	1165	1878	pedudiahn	pedudiahn	p e d u d i a h n	pedudiahn	p e d u d i a h n
3661	1878	v. Rosenberg 1878	1201	1878	nehoha	nehoha	n e h o h a	nehoha	n e h o h a
3784	1878	v. Rosenberg 1878	1245	1878	karahaai	karaha:i	k a r a h a:i	karahai	k a r a h ai
3800	1878	v. Rosenberg 1878	1247	1878	akanu	akanu	a k a n u	akanu	a k a n u
3837	1878	v. Rosenberg 1878	1260	1878	kodo	kodo	k o d o	kodo	k o d o
3980	1878	v. Rosenberg 1878	1321	1878	[fakka-]manie	[fakka-]mani	[ f a k k a - ] m a n i	[fakka-]mani	[ f a k k a - ] m a n i
4144	1878	v. Rosenberg 1878	1378	1878	muna	muna	m u n a	muna	m u n a
4180	1878	v. Rosenberg 1878	1389	1878	kabea	kabea	k a b e a	kabea	k a b e a
4219	1878	v. Rosenberg 1878	1398	1878	oku	oku	o k u	oku	o k u
4418	1878	v. Rosenberg 1878	1457	1878	alieba-aoza	aliba-aoza	a l i b a - a o z a	aliba-aoʒa	a l i b a - a o ʒ a
4462	1878	v. Rosenberg 1878	1471	1878	fanoh	fanoh	f a n o h	fanoh	f a n o h
4477	1878	v. Rosenberg 1878	1472	1878	keba	keba	k e b a	keba	k e b a
4539	1878	v. Rosenberg 1878	1492	1878	napua	napua	n a p u a	napua	n a p u a
4577	1878	v. Rosenberg 1878	1504	1878	bahai	baha:i	b a h a:i	bahai	b a h ai
4738	1878	v. Rosenberg 1878	1573	1878	taba	taba	t a b a	taba	t a b a
