Left	Grapheme	Right	Class	Replacement
	aoe			aːo
	àoe			aːo
	àoé			aːo
	aoé			aːo
	äà			a'a
	äá			a'a
	aä			a'a
	äo			a'o
	aï			a'i
	ai			aːi
	ie			i
	dj			j
	tj			c
	oe			u
	oé			u
	au			aːo
	éi			eːi
	ei			eːi
	ej			eːi
	oi			oːi
	ou			oːu
	ow			oːu
(ie)	h			x
(ai)	h			x
[^ab]i	h			x
	\-	[éèi]$		'
^.	\-			'
	\-			-
	\ 			 
	\;			;
	\[			[
	\]			]
	a			a
	á			a
	à			a
	ä			a
	b			b
	d			d
	e			e
	é			e
	è			E
	f			f
	g			k
	h			h
b	i	h		ė
	i			i
	ï			i
	j			y
	k			k
	K			K
	l			l
	m			m
	n			n
	o			o
	p			p
	r			r
	s			x
	t			t
	u			u
	ú			u̇
	v			w
	w			w
