Left	Grapheme	Right	Class	Replacement	Frequency
	aoe			aːo	2
	àoe			aːo	0
	àoé			aːo	0
	aoé			aːo	0
	äà			E'a	1
	äá			E'a	1
	aä			a'E	1
	äo			E'o	1
	aï			a'i	1
	ai			aːi	2
	dj			j	4
	tj			c	4
	oe			u	85
	oé			u	0
	au			aːo	7
	éi			eːi	0
	ei			eːi	16
	ej			eːi	7
	oi			oːi	1
	ou			oːu	2
	-			'	22
	 			 	53
	;			;	5
	[			[	4
	]			]	4
	a			a	209
	á			a	2
	à			a	2
	ä			E	0
	b			b	22
	d			d	19
	e			e	51
	é			e	17
	è			E	11
	f			f	16
	g			k	19
	h			h	46
	i			i	76
	ï			i	0
	j			y	13
	k			k	100
	K			K	2
	l			l	46
	m			m	39
	n			n	37
	o			o	93
	p			p	55
	r			r	23
	s			x	1
	t			t	33
	u			u	0
	ú			u̇	1
	v			w	2
	w			w	37
