entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
145	1855	v. Rosenberg 1855	55	1855vR	aopa	aopa	a o p a	aopa	a o p a
277	1855	v. Rosenberg 1855	95	1855vR	abiha	abėha	a b ė h a	abəha	a b ə h a
303	1855	v. Rosenberg 1855	101	1855vR	oela koea	ula kua	u l a # k u a	ula kua	u l a # k u a
427	1855	v. Rosenberg 1855	146	1855vR	koedei	kude:i	k u d e:i	kudɛi	k u d ɛi
582	1855	v. Rosenberg 1855	174	1855vR	kimona	kimona	k i m o n a	kimona	k i m o n a
796	1855	v. Rosenberg 1855	236	1855vR	gerfifi	kerfifi	k e r f i f i	kerfifi	k e r f i f i
844	1855	v. Rosenberg 1855	255	1855vR	[pàg]ehlie	[pak]ehli	[ p a k ] e h l i	[pak]ehli	[ p a k ] e h l i
874	1855	v. Rosenberg 1855	263	1855vR	habaha-pipimei	habaha-pipime:i	h a b a h a - p i p i m e:i	habaha-pipimɛi	h a b a h a - p i p i m ɛi
905	1855	v. Rosenberg 1855	276	1855vR	obie	obi	o b i	obi	o b i
1000	1855	v. Rosenberg 1855	305	1855vR	koko	koko	k o k o	koko	k o k o
1082	1855	v. Rosenberg 1855	324	1855vR	tawauwa	tawa:owa	t a w a:o w a	tawaowa	t a w ao w a
1100	1855	v. Rosenberg 1855	332	1855vR	kahij-tjewe	kahiy-cewe	k a h i y - c e w e	kahij-t͡ʃewe	k a h i j - t͡ʃ e w e
1156	1855	v. Rosenberg 1855	353	1855vR	okioki	okioki	o k i o k i	okioki	o k i o k i
1164	1855	v. Rosenberg 1855	356	1855vR	avo	awo	a w o	awo	a w o
1223	1855	v. Rosenberg 1855	379	1855vR	tawaweij	tawawe:iy	t a w a w e:i y	tawawɛij	t a w a w ɛi j
1270	1855	v. Rosenberg 1855	394	1855vR	poeroe howi-howi	puru ho:ui-ho:ui	p u r u # h o:u i - h o:u i	puru hɔui-hɔui	p u r u # h ɔu i - h ɔu i
1321	1855	v. Rosenberg 1855	413	1855vR	talikoko [ilopo]	talikoko [ilopo]	t a l i k o k o # [ i l o p o ]	talikoko [ilopo]	t a l i k o k o # [ i l o p o ]
1388	1855	v. Rosenberg 1855	436	1855vR	kawahké	kawahke	k a w a h k e	kawahke	k a w a h k e
1404	1855	v. Rosenberg 1855	443	1855vR	gewello wello	kewello wello	k e w e l l o # w e l l o	kewello wello	k e w e l l o # w e l l o
1456	1855	v. Rosenberg 1855	462	1855vR	mokomehema	mokomehema	m o k o m e h e m a	mokomehema	m o k o m e h e m a
1467	1855	v. Rosenberg 1855	464	1855vR	koelemak	kulemak	k u l e m a k	kulemak	k u l e m a k
1481	1855	v. Rosenberg 1855	471	1855vR	ilopo	ilopo	i l o p o	ilopo	i l o p o
1537	1855	v. Rosenberg 1855	489	1855vR	parowa	paro:ua	p a r o:u a	parɔua	p a r ɔu a
1542	1855	v. Rosenberg 1855	491	1855vR	paoea-oea	pa:oa-ua	p a:o a - u a	paoa-ua	p ao a - u a
1661	1855	v. Rosenberg 1855	543	1855vR	peparè-e-tjé	peparE-e-ce	p e p a r E - e - c e	peparɛ-e-t͡ʃe	p e p a r ɛ - e - t͡ʃ e
1676	1855	v. Rosenberg 1855	546	1855vR	tawejo wejo ; wéo wéo	tawe:io we:io ; weo weo	t a w e:i o # w e:i o # ; # w e o # w e o	tawɛio wɛio ; weo weo	t a w ɛi o # w ɛi o # ; # w e o # w e o
1698	1855	v. Rosenberg 1855	549	1855vR	oemau	uma:o	u m a:o	umao	u m ao
1734	1855	v. Rosenberg 1855	562	1855vR	faginono léwo lèwo	fakinono lewo lEwo	f a k i n o n o # l e w o # l E w o	fakinono lewo lɛwo	f a k i n o n o # l e w o # l ɛ w o
1785	1855	v. Rosenberg 1855	579	1855vR	kaleha	kaleha	k a l e h a	kaleha	k a l e h a
1814	1855	v. Rosenberg 1855	586	1855vR	tehopo	tehopo	t e h o p o	tehopo	t e h o p o
1868	1855	v. Rosenberg 1855	595	1855vR	faginono	fakinono	f a k i n o n o	fakinono	f a k i n o n o
1885	1855	v. Rosenberg 1855	602	1855vR	alimei agoloe	alime:i akolu	a l i m e:i # a k o l u	alimɛi akolu	a l i m ɛi # a k o l u
1904	1855	v. Rosenberg 1855	606	1855vR	aopeia taka	aope:ia taka	a o p e:i a # t a k a	aopɛia taka	a o p ɛi a # t a k a
1924	1855	v. Rosenberg 1855	611	1855vR	kapi-api	kapi-api	k a p i - a p i	kapi-api	k a p i - a p i
1941	1855	v. Rosenberg 1855	621	1855vR	è-loppeh	E'loppeh	E ' l o p p e h	ɛʔloppeh	ɛ ʔ l o p p e h
1943	1855	v. Rosenberg 1855	622	1855vR	Kepoe-taïgoeka	Kepu-ta'ikuka	K e p u - t a ' i k u k a	kepu-taʔikuka	k e p u - t a ʔ i k u k a
1946	1855	v. Rosenberg 1855	623	1855vR	Keeiikjèé	Kee:iikyEe	K e e:i i k y E e	keɛiikjɛe	k e ɛi i k j ɛ e
2019	1855	v. Rosenberg 1855	656	1855vR	bakka	bakka	b a k k a	bakka	b a k k a
2066	1855	v. Rosenberg 1855	672	1855vR	mimi	mimi	m i m i	mimi	m i m i
2105	1855	v. Rosenberg 1855	682	1855vR	ama ama	ama ama	a m a # a m a	ama ama	a m a # a m a
2184	1855	v. Rosenberg 1855	706	1855vR	tahapoeloe alima	tahapulu alima	t a h a p u l u # a l i m a	tahapulu alima	t a h a p u l u # a l i m a
2195	1855	v. Rosenberg 1855	709	1855vR	adoeei taka tahapoeloe	adue:i taka tahapulu	a d u e:i # t a k a # t a h a p u l u	aduɛi taka tahapulu	a d u ɛi # t a k a # t a h a p u l u
2227	1855	v. Rosenberg 1855	720	1855vR	kúnikàni	ku̇nikani	k u̇ n i k a n i	kɨnikani	k ɨ n i k a n i
2234	1855	v. Rosenberg 1855	722	1855vR	gaheho	kaheho	k a h e h o	kaheho	k a h e h o
2264	1855	v. Rosenberg 1855	729	1855vR	howi howi	ho:ui ho:ui	h o:u i # h o:u i	hɔui hɔui	h ɔu i # h ɔu i
2308	1855	v. Rosenberg 1855	741	1855vR	kwau	kwa:o	k w a:o	kwao	k w ao
2312	1855	v. Rosenberg 1855	743	1855vR	vatjekwau	wacekwa:o	w a c e k w a:o	wat͡ʃekwao	w a t͡ʃ e k w ao
2328	1855	v. Rosenberg 1855	753	1855vR	alima	alima	a l i m a	alima	a l i m a
2441	1855	v. Rosenberg 1855	791	1855vR	gaheita	kahe:ita	k a h e:i t a	kahɛita	k a h ɛi t a
2524	1855	v. Rosenberg 1855	819	1855vR	adoeei taka	adue:i taka	a d u e:i # t a k a	aduɛi taka	a d u ɛi # t a k a
2534	1855	v. Rosenberg 1855	820	1855vR	aopa	aopa	a o p a	aopa	a o p a
2583	1855	v. Rosenberg 1855	831	1855vR	oho	oho	o h o	oho	o h o
2687	1855	v. Rosenberg 1855	868	1855vR	koe-é	ku'e	k u ' e	kuʔe	k u ʔ e
2704	1855	v. Rosenberg 1855	874	1855vR	hamimi	hamimi	h a m i m i	hamimi	h a m i m i
2709	1855	v. Rosenberg 1855	876	1855vR	pahè	pahE	p a h E	pahɛ	p a h ɛ
2846	1855	v. Rosenberg 1855	920	1855vR	dodoje-é	dodoye'e	d o d o y e ' e	dodojeʔe	d o d o j e ʔ e
2885	1855	v. Rosenberg 1855	933	1855vR	kalaleja	kalale:ia	k a l a l e:i a	kalalɛia	k a l a l ɛi a
2920	1855	v. Rosenberg 1855	950	1855vR	boeloe oeloe	bulu ulu	b u l u # u l u	bulu ulu	b u l u # u l u
2946	1855	v. Rosenberg 1855	956	1855vR	afa ; afo	afa ; afo	a f a # ; # a f o	afa ; afo	a f a # ; # a f o
2968	1855	v. Rosenberg 1855	961	1855vR	kabaufau	kaba:ofa:o	k a b a:o f a:o	kabaofao	k a b ao f ao
3022	1855	v. Rosenberg 1855	981	1855vR	bohej	bohe:i	b o h e:i	bohɛi	b o h ɛi
3028	1855	v. Rosenberg 1855	984	1855vR	oeloe	ulu	u l u	ulu	u l u
3079	1855	v. Rosenberg 1855	998	1855vR	pagawa	pakawa	p a k a w a	pakawa	p a k a w a
3214	1855	v. Rosenberg 1855	1048	1855vR	foeroemoena	furumuna	f u r u m u n a	furumuna	f u r u m u n a
3216	1855	v. Rosenberg 1855	1049	1855vR	joewa	yuwa	y u w a	juwa	j u w a
