Left	Grapheme	Right	Class	Replacement	Phoneme	Frequency
	aauw			a:o	ao	11
	eeuw			a:u̇	aɨ	1
	aai			a:i	ai	6
	ai			a:i	ai	19
	dhj			j	d͡ʒ	0
	oe			u	u	85
	eu			u̇	ɨ	1
	ié			i i	iː	0
	ie			i i	iː	65
	ei			e:i	ɛi	3
	éi			e:i	ɛi	0
	oi			o:i	ɔi	2
	dj			j	d͡ʒ	17
	nj			ñ	ɲ	4
	tj			c	t͡ʃ	1
	-			'	ʔ	10
	 			 	 	70
	;			;	;	9
	[			[	[	9
	]			]	]	9
	a			a	a	197
	b			b	b	45
	d			d	d	30
	e			E	ɛ	64
	é			e	e	16
	f			f	f	20
	g			g	k	1
	h			h	h	40
	i			i	i	38
	j			y	j	11
	k			k	k	150
	l			l	l	40
	m			m	m	30
	n			n	n	59
	o			o	o	120
	p			p	p	55
	r			r	r	19
	t			t	t	11
	u			u	u	1
	w			w	w	10
