entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
18	1855	vd Straten & S. 1855	2	1855vdS	amamma	amamma	a m a m m a	amamma	a m a m m a
37	1855	vd Straten & S. 1855	3	1855vdS	adoea	adua	a d u a	adua	a d u a
63	1855	vd Straten & S. 1855	5	1855vdS	poeafa	puafa	p u a f a	puafa	p u a f a
91	1855	vd Straten & S. 1855	7	1855vdS	koloe	kolu	k o l u	kolu	k o l u
111	1855	vd Straten & S. 1855	9	1855vdS	akeno	akEno	a k E n o	akɛno	a k ɛ n o
127	1855	vd Straten & S. 1855	10	1855vdS	lieba	liiba	l ii b a	liːba	l iː b a
145	1855	vd Straten & S. 1855	11	1855vdS	lieba doea	liiba dua	l ii b a # d u a	liːba dua	l iː b a # d u a
160	1855	vd Straten & S. 1855	12	1855vdS	afa-afa	afa'afa	a f a ' a f a	afaʔafa	a f a ʔ a f a
174	1855	vd Straten & S. 1855	13	1855vdS	lieba afa	liiba afa	l ii b a # a f a	liːba afa	l iː b a # a f a
223	1855	vd Straten & S. 1855	17	1855vdS	afa	afa	a f a	afa	a f a
240	1855	vd Straten & S. 1855	18	1855vdS	egaij	Ega:iy	E g a:i y	ɛkaij	ɛ k ai j
258	1855	vd Straten & S. 1855	19	1855vdS	baka	baka	b a k a	baka	b a k a
276	1855	vd Straten & S. 1855	20	1855vdS	kahao	kahao	k a h a o	kahao	k a h a o
298	1855	vd Straten & S. 1855	22	1855vdS	kioe	kiu	k i u	kiu	k i u
312	1855	vd Straten & S. 1855	23	1855vdS	dé	de	d e	de	d e
315	1855	vd Straten & S. 1855	24	1855vdS	heddi heddi	hEddi hEddi	h E d d i # h E d d i	hɛddi hɛddi	h ɛ d d i # h ɛ d d i
322	1855	vd Straten & S. 1855	25	1855vdS	eiwo	e:iwo	e:i w o	ɛiwo	ɛi w o
334	1855	vd Straten & S. 1855	26	1855vdS	kakinana	kakinana	k a k i n a n a	kakinana	k a k i n a n a
341	1855	vd Straten & S. 1855	27	1855vdS	pano	pano	p a n o	pano	p a n o
382	1855	vd Straten & S. 1855	31	1855vdS	heheloe	hEhElu	h E h E l u	hɛhɛlu	h ɛ h ɛ l u
388	1855	vd Straten & S. 1855	32	1855vdS	iedjo	iijo	ii j o	iːd͡ʒo	iː d͡ʒ o
402	1855	vd Straten & S. 1855	33	1855vdS	ka-a	ka'a	k a ' a	kaʔa	k a ʔ a
447	1855	vd Straten & S. 1855	38	1855vdS	kaaiwaauw	ka:iwa:o	k a:i w a:o	kaiwao	k ai w ao
450	1855	vd Straten & S. 1855	39	1855vdS	kakkie akie	kakkii akii	k a k k ii # a k ii	kakkiː akiː	k a k k iː # a k iː
482	1855	vd Straten & S. 1855	41	1855vdS	karahaai	karaha:i	k a r a h a:i	karahai	k a r a h ai
489	1855	vd Straten & S. 1855	42	1855vdS	keba	kEba	k E b a	kɛba	k ɛ b a
516	1855	vd Straten & S. 1855	46	1855vdS	kodo	kodo	k o d o	kodo	k o d o
543	1855	vd Straten & S. 1855	48	1855vdS	koehoedaauw	kuhuda:o	k u h u d a:o	kuhudao	k u h u d ao
557	1855	vd Straten & S. 1855	49	1855vdS	lahoe	lahu	l a h u	lahu	l a h u
567	1855	vd Straten & S. 1855	50	1855vdS	lebo lebo	lEbo lEbo	l E b o # l E b o	lɛbo lɛbo	l ɛ b o # l ɛ b o
606	1855	vd Straten & S. 1855	53	1855vdS	moné moné	mone mone	m o n e # m o n e	mone mone	m o n e # m o n e
615	1855	vd Straten & S. 1855	54	1855vdS	mona	mona	m o n a	mona	m o n a
621	1855	vd Straten & S. 1855	56	1855vdS	oeihoho	uihoho	u i h o h o	uihoho	u i h o h o
626	1855	vd Straten & S. 1855	57	1855vdS	noea	nua	n u a	nua	n u a
637	1855	vd Straten & S. 1855	58	1855vdS	abie abie	abii abii	a b ii # a b ii	abiː abiː	a b iː # a b iː
652	1855	vd Straten & S. 1855	59	1855vdS	o	o	o	o	o
662	1855	vd Straten & S. 1855	61	1855vdS	pabeha	pabEha	p a b E h a	pabɛha	p a b ɛ h a
672	1855	vd Straten & S. 1855	62	1855vdS	pafrioe	pafriu	p a f r i u	pafriu	p a f r i u
683	1855	vd Straten & S. 1855	63	1855vdS	pakoena	pakuna	p a k u n a	pakuna	p a k u n a
692	1855	vd Straten & S. 1855	64	1855vdS	[keb]oelie	[kEb]ulii	[ k E b ] u l ii	[kɛb]uliː	[ k ɛ b ] u l iː
703	1855	vd Straten & S. 1855	65	1855vdS	pakoe pakoe	paku paku	p a k u # p a k u	paku paku	p a k u # p a k u
708	1855	vd Straten & S. 1855	66	1855vdS	panoeko	panuko	p a n u k o	panuko	p a n u k o
716	1855	vd Straten & S. 1855	68	1855vdS	apeloea	apElua	a p E l u a	apɛlua	a p ɛ l u a
720	1855	vd Straten & S. 1855	69	1855vdS	pipinai	pipina:i	p i p i n a:i	pipinai	p i p i n ai
724	1855	vd Straten & S. 1855	70	1855vdS	oedoe	udu	u d u	udu	u d u
743	1855	vd Straten & S. 1855	72	1855vdS	tako	tako	t a k o	tako	t a k o
761	1855	vd Straten & S. 1855	73	1855vdS	tapoeloe	tapulu	t a p u l u	tapulu	t a p u l u
775	1855	vd Straten & S. 1855	75	1855vdS	oewa	uwa	u w a	uwa	u w a
794	1855	vd Straten & S. 1855	76	1855vdS	tjoeba ; djoeba	cuba ; juba	c u b a # ; # j u b a	t͡ʃuba ; d͡ʒuba	t͡ʃ u b a # ; # d͡ʒ u b a
812	1855	vd Straten & S. 1855	77	1855vdS	oeloe	ulu	u l u	ulu	u l u
972	1855	vd Straten & S. 1855	132	1855vdS	akie akie	akii akii	a k ii # a k ii	akiː akiː	a k iː # a k iː
1044	1855	vd Straten & S. 1855	153	1855vdS	behoho pakenaauw	bEhoho pakEna:o	b E h o h o # p a k E n a:o	bɛhoho pakɛnao	b ɛ h o h o # p a k ɛ n ao
1109	1855	vd Straten & S. 1855	173	1855vdS	abepa	abEpa	a b E p a	abɛpa	a b ɛ p a
1171	1855	vd Straten & S. 1855	193	1855vdS	kekia	kEkia	k E k i a	kɛkia	k ɛ k i a
1258	1855	vd Straten & S. 1855	224	1855vdS	kaitofo	ka:itofo	k a:i t o f o	kaitofo	k ai t o f o
1335	1855	vd Straten & S. 1855	240	1855vdS	djoha	joha	j o h a	d͡ʒoha	d͡ʒ o h a
1344	1855	vd Straten & S. 1855	241	1855vdS	keloeloe	kElulu	k E l u l u	kɛlulu	k ɛ l u l u
1395	1855	vd Straten & S. 1855	251	1855vdS	kokoho ; kako	kokoho ; kako	k o k o h o # ; # k a k o	kokoho ; kako	k o k o h o # ; # k a k o
1404	1855	vd Straten & S. 1855	254	1855vdS	bidie bidie	bidii bidii	b i d ii # b i d ii	bidiː bidiː	b i d iː # b i d iː
