Left	Grapheme	Right	Class	Replacement	Frequency
	auw			aːo	1
	oh			o	107
	ss			x	1
	tj			c	0
	tc			c	1
	ie			i i	67
	ié			i i	0
	dj			j	9
	oe			u	135
	oé			u	1
	vh			f	1
	ph			p	2
	nj			ñ	2
	ow			oːu	6
	oi			oːi	3
	aw			aːo	3
	ai			aːi	20
(ie)	h			x	3
(ai)	h			x	5
(?<!a)i	h			x	5
	\-			'	167
	 			 	68
	\(			(	3
	\)			)	3
	\;			;	13
	\[			[	11
	\]			]	11
	a			a	356
	à			a	1
	b			b	59
	c			c	0
	d			d	32
	e			e	64
	é			e	20
	è			E	32
	ê			u̇	2
	ë			e	2
	f			f	12
	h			h	243
	i			i	61
	j			y	11
	k			k	229
	l			l	75
	L			L	2
	m			m	42
	n			n	64
	o			O	63
	p			p	106
	r			r	32
	s			s	0
	t			t	12
	u			u	2
	v			v	0
	w			w	9
