entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
47	1864	Walland 1864	21	1864	khidrah	khidrah	k h i d r a h	khidrah	k h i d r a h
92	1864	Walland 1864	35	1864	na-apoea-kha-halé	na'apua'kha'hale	n a ' a p u a ' k h a ' h a l e	naʔapuaʔkhaʔhale	n a ʔ a p u a ʔ k h a ʔ h a l e
97	1864	Walland 1864	37	1864	pahoe	pahu	p a h u	pahu	p a h u
100	1864	Walland 1864	38	1864	menapa-pahoea oebah	menapa'pahua ubah	m e n a p a ' p a h u a # u b a h	menapaʔpahua ubah	m e n a p a ʔ p a h u a # u b a h
209	1864	Walland 1864	74	1864	kha-nioh	kha'nio	k h a ' n i o	khaʔnio	k h a ʔ n i o
218	1864	Walland 1864	76	1864	hoewarie	huwarii	h u w a r i i	huwariː	h u w a r iː
243	1864	Walland 1864	85	1864	kèha	kEha	k E h a	kɛha	k ɛ h a
252	1864	Walland 1864	87	1864	kha-poh	kha'po	k h a ' p o	khaʔpo	k h a ʔ p o
279	1864	Walland 1864	95	1864	abèhah	abEhah	a b E h a h	abɛhah	a b ɛ h a h
323	1864	Walland 1864	108	1864	baikeh	ba:ikeh	b a:i k e h	baikeh	b ai k e h
371	1864	Walland 1864	122	1864	khi-ho-ie	khi'hO'ii	k h i ' h O ' i i	khiʔhɔʔiː	k h i ʔ h ɔ ʔ iː
381	1864	Walland 1864	127	1864	oehouw-oenie [manu]	uhOuw'unii [manu]	u h O u w ' u n i i # [ m a n u ]	uhɔuwʔuniː [manu]	u h ɔ u w ʔ u n iː # [ m a n u ]
428	1864	Walland 1864	146	1864	kidai	kida:i	k i d a:i	kidai	k i d ai
457	1864	Walland 1864	148	1864	hordjie	hOrjii	h O r j i i	hɔrd͡ʒiː	h ɔ r d͡ʒ iː
532	1864	Walland 1864	164	1864	kahèlo-èloh	kahElO'Elo	k a h E l O ' E l o	kahɛlɔʔɛlo	k a h ɛ l ɔ ʔ ɛ l o
534	1864	Walland 1864	165	1864	khah-khoh	khah'kho	k h a h ' k h o	khahʔkho	k h a h ʔ k h o
558	1864	Walland 1864	171	1864	kakénèh-bakka	kakenEh'bakka	k a k e n E h ' b a k k a	kakenɛhʔbakka	k a k e n ɛ h ʔ b a k k a
565	1864	Walland 1864	172	1864	kiakie	kiakii	k i a k i i	kiakiː	k i a k iː
583	1864	Walland 1864	174	1864	ka-akiema	ka'akiima	k a ' a k i i m a	kaʔakiːma	k a ʔ a k iː m a
594	1864	Walland 1864	178	1864	lohah	loah	l o a h	loah	l o a h
637	1864	Walland 1864	189	1864	ah[oe]	ah[u]	a h [ u ]	ah[u]	a h [ u ]
683	1864	Walland 1864	203	1864	é-boek	e'buk	e ' b u k	eʔbuk	e ʔ b u k
789	1864	Walland 1864	232	1864	pa-djoheh	pa'joeh	p a ' j o e h	paʔd͡ʒoeh	p a ʔ d͡ʒ o e h
866	1864	Walland 1864	261	1864	pa-harie	pa'harii	p a ' h a r i i	paʔhariː	p a ʔ h a r iː
897	1864	Walland 1864	274	1864	koleh	kOleh	k O l e h	kɔleh	k ɔ l e h
975	1864	Walland 1864	301	1864	papah	papah	p a p a h	papah	p a p a h
985	1864	Walland 1864	302	1864	amah	amah	a m a h	amah	a m a h
995	1864	Walland 1864	303	1864	mamah	mamah	m a m a h	mamah	m a m a h
1002	1864	Walland 1864	305	1864	èkoh-èkoh	Eko'Eko	E k o ' E k o	ɛkoʔɛko	ɛ k o ʔ ɛ k o
1008	1864	Walland 1864	306	1864	harah	harah	h a r a h	harah	h a r a h
1022	1864	Walland 1864	307	1864	kahpah	kahpah	k a h p a h	kahpah	k a h p a h
1044	1864	Walland 1864	311	1864	khie	khii	k h i i	khiː	k h iː
1135	1864	Walland 1864	345	1864	do-boe-oe	dO'bu'u	d O ' b u ' u	dɔʔbuʔu	d ɔ ʔ b u ʔ u
1136	1864	Walland 1864	346	1864	akah-wioh	akah'wio	a k a h ' w i o	akahʔwio	a k a h ʔ w i o
1137	1864	Walland 1864	347	1864	kali-kekoh	kali'keko	k a l i ' k e k o	kaliʔkeko	k a l i ʔ k e k o
1138	1864	Walland 1864	348	1864	oefah	ufah	u f a h	ufah	u f a h
1166	1864	Walland 1864	356	1864	epoh (fi-èloh)	epo (fi'Elo)	e p o # ( f i ' E l o )	epo (fiʔɛlo)	e p o # ( f i ʔ ɛ l o )
1178	1864	Walland 1864	357	1864	kaloekoe	kaluku	k a l u k u	kaluku	k a l u k u
1195	1864	Walland 1864	367	1864	bé-poh	be'po	b e ' p o	beʔpo	b e ʔ p o
1197	1864	Walland 1864	368	1864	hioh	hio	h i o	hio	h i o
1258	1864	Walland 1864	393	1864	pa-boeah	pa'buah	p a ' b u a h	paʔbuah	p a ʔ b u a h
1279	1864	Walland 1864	399	1864	khalé-leah	khale'leah	k h a l e ' l e a h	khaleʔleah	k h a l e ʔ l e a h
1293	1864	Walland 1864	404	1864	mané-mané	mane'mane	m a n e ' m a n e	maneʔmane	m a n e ʔ m a n e
1370	1864	Walland 1864	429	1864	o-oboh	O'Obo	O ' O b o	ɔʔɔbo	ɔ ʔ ɔ b o
1406	1864	Walland 1864	443	1864	weloh	welo	w e l o	welo	w e l o
1420	1864	Walland 1864	446	1864	Liho ; Leho	LixO ; LehO	L i x O # ; # L e h O	liçɔ ; lehɔ	l i ç ɔ # ; # l e h ɔ
1459	1864	Walland 1864	463	1864	ka-pohpoh	ka'popo	k a ' p o p o	kaʔpopo	k a ʔ p o p o
1470	1864	Walland 1864	466	1864	harah-howdah	harah'ho:udah	h a r a h ' h o:u d a h	harahʔhɔudah	h a r a h ʔ h ɔu d a h
1475	1864	Walland 1864	467	1864	harah-howdah aboe peradoe	harah'ho:udah abu peradu	h a r a h ' h o:u d a h # a b u # p e r a d u	harahʔhɔudah abu peradu	h a r a h ʔ h ɔu d a h # a b u # p e r a d u
1482	1864	Walland 1864	471	1864	[manika-]loppoh	[manika']lOppo	[ m a n i k a ' ] l O p p o	[manikaʔ]lɔppo	[ m a n i k a ʔ ] l ɔ p p o
1534	1864	Walland 1864	488	1864	ka-prohbah	ka'probah	k a ' p r o b a h	kaʔprobah	k a ʔ p r o b a h
1539	1864	Walland 1864	489	1864	praboh	prabo	p r a b o	prabo	p r a b o
1582	1864	Walland 1864	516	1864	ba-ah	ba'ah	b a ' a h	baʔah	b a ʔ a h
1663	1864	Walland 1864	543	1864	papa rèie	papa rEii	p a p a # r E i i	papa rɛiː	p a p a # r ɛ iː
1678	1864	Walland 1864	546	1864	bé-oh	be'o	b e ' o	beʔo	b e ʔ o
1728	1864	Walland 1864	560	1864	à-nihai	a'nixa:i	a ' n i x a:i	aʔniçai	a ʔ n i ç ai
1786	1864	Walland 1864	579	1864	kalila	kalila	k a l i l a	kalila	k a l i l a
1810	1864	Walland 1864	584	1864	kenènèh-ka-rika	kenEnEh'ka'rika	k e n E n E h ' k a ' r i k a	kenɛnɛhʔkaʔrika	k e n ɛ n ɛ h ʔ k a ʔ r i k a
1816	1864	Walland 1864	586	1864	loppoh	lOppo	l O p p o	lɔppo	l ɔ p p o
1854	1864	Walland 1864	594	1864	menoh ; manoh	meno ; mano	m e n o # ; # m a n o	meno ; mano	m e n o # ; # m a n o
1870	1864	Walland 1864	595	1864	pakehnonno	pakehnOnnO	p a k e h n O n n O	pakehnɔnnɔ	p a k e h n ɔ n n ɔ
1880	1864	Walland 1864	600	1864	haoah ko-eikoh	haOah kO'eiko	h a O a h # k O ' e i k o	haɔah kɔʔeiko	h a ɔ a h # k ɔ ʔ e i k o
1887	1864	Walland 1864	602	1864	opah ijoepah	Opah iyupah	O p a h # i y u p a h	ɔpah ijupah	ɔ p a h # i j u p a h
