Left	Grapheme	Right	Class	Replacement	Frequency
	aoe			aːo	1
	aw			aːo	1
	aè			aːe	1
	aé			aːe	0
	ae			aːe	2
	oö			o'o	3
	aä			a'a	1
	oe			u	95
	oh			o	7
	ou			oːu	2
	ie			ii	55
	ai			aːi	15
	oi			oːi	2
	ei			eːi	4
	èi			eːi	0
	ej			eːi	7
	tj			c	2
	th			c	1
	dhj			j	0
	dj			j	2
	nj			ñ	0
(ie)	h			x	0
(ai)	h			x	0
(?<!a)i	h			x	2
	\-			'	2
	 			 	138
	\!			!	1
	\(			(	2
	\)			)	2
	\/			/	2
	\;			;	5
	\?			?	2
	\[			[	4
	\]			]	4
	a			a	316
	á			a	1
	à			a	2
	ä			ä	0
	b			b	24
	c			c	1
	d			d	55
	e			e	104
	é			e	33
	è			E	6
	f			f	69
	g			k	1
	h			h	58
	i			i	16
	î			ii	1
	j			y	22
	k			k	195
	l			l	50
	m			m	31
	n			n	34
	o			o	129
	ó			o	1
	ö			ö	0
	p			p	3
	r			r	15
	s			x	1
	t			t	30
	u			u	0
	w			w	8
