entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
1	1879	Oudemans 1879	1	1879	ietebe	itebe	i t e b e	itebe	i t e b e
233	1879	Oudemans 1879	82	1879	kahoe	kahu	k a h u	kahu	k a h u
293	1879	Oudemans 1879	98	1879	iedjo	ijO	i j O	id͡ʒɔ	i d͡ʒ ɔ
362	1879	Oudemans 1879	120	1879	fororoife	fOrOro:ife	f O r O r o:i f e	fɔrɔrɔife	f ɔ r ɔ r ɔi f e
431	1879	Oudemans 1879	146	1879	kiedāi	kidaai	k i d a a i	kidaːi	k i d aː i
447	1879	Oudemans 1879	147	1879	ietofo ; katofo	itOfO ; katOfO	i t O f O # ; # k a t O f O	itɔfɔ ; katɔfɔ	i t ɔ f ɔ # ; # k a t ɔ f ɔ
483	1879	Oudemans 1879	155	1879	a-ieje	a'iye	a ' i y e	aʔije	a ʔ i j e
495	1879	Oudemans 1879	158	1879	eke-èfe	eke'Efe	e k e ' E f e	ekeʔɛfe	e k e ʔ ɛ f e
597	1879	Oudemans 1879	178	1879	elohoa	eloOa	e l o O a	eloɔa	e l o ɔ a
611	1879	Oudemans 1879	181	1879	karaha	karaha	k a r a h a	karaha	k a r a h a
659	1879	Oudemans 1879	195	1879	epiëko ; epiéko	epi'ekO ; epiekO	e p i ' e k O # ; # e p i e k O	epiʔekɔ ; epiekɔ	e p i ʔ e k ɔ # ; # e p i e k ɔ
725	1879	Oudemans 1879	217	1879	é koko	e kOkO	e # k O k O	e kɔkɔ	e # k ɔ k ɔ
988	1879	Oudemans 1879	302	1879	émāha	emaaha	e m a a h a	emaːha	e m aː h a
1004	1879	Oudemans 1879	305	1879	eokeiko	eOke:ikO	e O k e:i k O	eɔkɛikɔ	e ɔ k ɛi k ɔ
1011	1879	Oudemans 1879	306	1879	éjara (émane/éhoda)	eyara (emane/ehOda)	e y a r a # ( e m a n e / e h O d a )	ejara (emane/ehɔda)	e j a r a # ( e m a n e / e h ɔ d a )
1031	1879	Oudemans 1879	308	1879	famoa	famOa	f a m O a	famɔa	f a m ɔ a
1046	1879	Oudemans 1879	311	1879	ékie	eki	e k i	eki	e k i
1104	1879	Oudemans 1879	333	1879	bahèle	bahEle	b a h E l e	bahɛle	b a h ɛ l e
1168	1879	Oudemans 1879	356	1879	effô	effo	e f f o	effo	e f f o
1260	1879	Oudemans 1879	393	1879	faboehe	fabuhe	f a b u h e	fabuhe	f a b u h e
1430	1879	Oudemans 1879	451	1879	kaha kakie	kaha kaki	k a h a # k a k i	kaha kaki	k a h a # k a k i
1473	1879	Oudemans 1879	466	1879	éjara éhoda	eyara ehOda	e y a r a # e h O d a	ejara ehɔda	e j a r a # e h ɔ d a
1489	1879	Oudemans 1879	473	1879	lakieho	lakixO	l a k i x O	lakiçɔ	l a k i ç ɔ
1680	1879	Oudemans 1879	546	1879	ebéo	ebeO	e b e O	ebeɔ	e b e ɔ
1695	1879	Oudemans 1879	547	1879	e afiē	e afiee	e # a f i e e	e afieː	e # a f i eː
1710	1879	Oudemans 1879	551	1879	karoebe	karube	k a r u b e	karube	k a r u b e
1738	1879	Oudemans 1879	562	1879	ietho	icO	i c O	it͡ʃɔ	i t͡ʃ ɔ
1789	1879	Oudemans 1879	579	1879	kaliha	kalixa	k a l i x a	kaliça	k a l i ç a
1856	1879	Oudemans 1879	594	1879	meno	menO	m e n O	menɔ	m e n ɔ
1890	1879	Oudemans 1879	602	1879	afa é afa	afa e afa	a f a # e # a f a	afa e afa	a f a # e # a f a
1906	1879	Oudemans 1879	606	1879	afa takka	afa takka	a f a # t a k k a	afa takka	a f a # t a k k a
1916	1879	Oudemans 1879	608	1879	kahafoeloe é kehaie	kahafulu e kehai	k a h a f u l u # e # k e h a i	kahafulu e kehai	k a h a f u l u # e # k e h a i
2024	1879	Oudemans 1879	656	1879	ébāka	ebaaka	e b a a k a	ebaːka	e b aː k a
2109	1879	Oudemans 1879	682	1879	amama	amama	a m a m a	amama	a m a m a
2199	1879	Oudemans 1879	709	1879	adoewa takka é kahafoeloe	aduwa takka e kahafulu	a d u w a # t a k k a # e # k a h a f u l u	aduwa takka e kahafulu	a d u w a # t a k k a # e # k a h a f u l u
2238	1879	Oudemans 1879	722	1879	mieno [afo]	minO [afO]	m i n O # [ a f O ]	minɔ [afɔ]	m i n ɔ # [ a f ɔ ]
2254	1879	Oudemans 1879	726	1879	ekaso-afo	ekaxO'afO	e k a x O ' a f O	ekaçɔʔafɔ	e k a ç ɔ ʔ a f ɔ
2269	1879	Oudemans 1879	729	1879	ejobie	eyObi	e y O b i	ejɔbi	e j ɔ b i
2296	1879	Oudemans 1879	740	1879	e ajo	e ayO	e # a y O	e ajɔ	e # a j ɔ
2333	1879	Oudemans 1879	753	1879	alieba	aliba	a l i b a	aliba	a l i b a
2527	1879	Oudemans 1879	819	1879	adoewa takka	aduwa takka	a d u w a # t a k k a	aduwa takka	a d u w a # t a k k a
2539	1879	Oudemans 1879	820	1879	afa	afa	a f a	afa	a f a
2554	1879	Oudemans 1879	822	1879	kahaie kadodoka	kahai kadOdOka	k a h a i # k a d O d O k a	kahai kadɔdɔka	k a h a i # k a d ɔ d ɔ k a
2625	1879	Oudemans 1879	843	1879	hobelélé	hObelele	h O b e l e l e	hɔbelele	h ɔ b e l e l e
2794	1879	Oudemans 1879	909	1879	kaoewe	ka'uwe	k a ' u w e	kaʔuwe	k a ʔ u w e
2828	1879	Oudemans 1879	916	1879	koöfijoe	ko'ofiyu	k o ' o f i y u	koʔofiju	k o ʔ o f i j u
2837	1879	Oudemans 1879	917	1879	oefoenai	ufuna:i	u f u n a:i	ufunai	u f u n ai
2925	1879	Oudemans 1879	950	1879	foedoedoe-oeloe	fududu'ulu	f u d u d u ' u l u	fududuʔulu	f u d u d u ʔ u l u
2950	1879	Oudemans 1879	956	1879	[mieno] afo	[minO] afO	[ m i n O ] # a f O	[minɔ] afɔ	[ m i n ɔ ] # a f ɔ
3010	1879	Oudemans 1879	980	1879	kieja	kiya	k i y a	kija	k i j a
3033	1879	Oudemans 1879	984	1879	é oeloe	e ulu	e # u l u	e ulu	e # u l u
