Left	Grapheme	Right	Class	Replacement	Frequency
	ou			oːu	6
	oi			oːi	3
	èi			eːi	2
	ao			aːo	7
	aè			aːe	1
	ai			aːi	7
	aï			aːu̇	1
	tj			c	0
	dj			j	5
	nj			ñ	0
	oe			u	57
	ie			i	24
	k²			'	10
(ie)	h			x	1
(ai)	h			x	1
(?<!a)i	h			x	7
	\-			-	3
	 			 	61
	\(			(	6
	\)			)	6
	;			;	22
	\[			[	7
	\]			]	7
	a			a	172
	b			b	42
	d			d	23
	e			e	16
	é			e	1
	è			E	101
	È			E	1
	ĕ			ė	25
	f			f	25
	g			k	4
	h			h	57
	i			i	56
	ï			ï	0
	j			j	20
	k			k	140
	K			K	2
	l			l	17
	m			m	24
	n			n	37
	o			o	126
	p			p	32
	r			r	25
	s			s	1
	t			t	4
	u			u	1
	w			w	26
