entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
6	1891	Helfrich & Pieters 1891	1	1891	èhödĕ	Ehu̇dė	E h u̇ d ė	ɛhɨdə	ɛ h ɨ d ə
7	1891	Helfrich & Pieters 1891	1	1891	èhöda	Ehu̇da	E h u̇ d a	ɛhɨda	ɛ h ɨ d a
24	1891	Helfrich & Pieters 1891	2	1891	èmani(e)	Emani(e)	E m a n i ( e )	ɛmani(e)	ɛ m a n i ( e )
25	1891	Helfrich & Pieters 1891	2	1891	èmani(e)	Emani(e)	E m a n i ( e )	ɛmani(e)	ɛ m a n i ( e )
43	1891	Helfrich & Pieters 1891	3	1891	adoewĕ	aduwė	a d u w ė	aduwə	a d u w ə
44	1891	Helfrich & Pieters 1891	3	1891	adoewa	aduwa	a d u w a	aduwa	a d u w a
58	1891	Helfrich & Pieters 1891	4	1891	adoewĕ takajo kifahoek	aduwė takayo kifahuk	a d u w ė # t a k a y o # k i f a h u k	aduwə takajo kifahuk	a d u w ə # t a k a j o # k i f a h u k
79	1891	Helfrich & Pieters 1891	6	1891	èai	Eai	E a i	ɛai	ɛ a i
80	1891	Helfrich & Pieters 1891	6	1891	èai	Eai	E a i	ɛai	ɛ a i
96	1891	Helfrich & Pieters 1891	7	1891	akoloe	akolu	a k o l u	akolu	a k o l u
97	1891	Helfrich & Pieters 1891	7	1891	akoloe	akolu	a k o l u	akolu	a k o l u
117	1891	Helfrich & Pieters 1891	9	1891	(a)kakinĕ	(a)kakinė	( a ) k a k i n ė	(a)kakinə	( a ) k a k i n ə
118	1891	Helfrich & Pieters 1891	9	1891	(a)kakinĕ	(a)kakinė	( a ) k a k i n ė	(a)kakinə	( a ) k a k i n ə
133	1891	Helfrich & Pieters 1891	10	1891	alibĕ	alibė	a l i b ė	alibə	a l i b ə
134	1891	Helfrich & Pieters 1891	10	1891	aribĕ	aribė	a r i b ė	aribə	a r i b ə
150	1891	Helfrich & Pieters 1891	11	1891	alibĕ adoewĕ	alibė aduwė	a l i b ė # a d u w ė	alibə aduwə	a l i b ə # a d u w ə
151	1891	Helfrich & Pieters 1891	11	1891	alibĕ adoewĕ	alibė aduwė	a l i b ė # a d u w ė	alibə aduwə	a l i b ə # a d u w ə
165	1891	Helfrich & Pieters 1891	12	1891	afai afa	afai afa	a f a i # a f a	afai afa	a f a i # a f a
166	1891	Helfrich & Pieters 1891	12	1891	afai afa	afai afa	a f a i # a f a	afai afa	a f a i # a f a
186	1891	Helfrich & Pieters 1891	14	1891	alibĕ taka	alibė taka	a l i b ė # t a k a	alibə taka	a l i b ə # t a k a
187	1891	Helfrich & Pieters 1891	14	1891	alibĕ taka	alibė taka	a l i b ė # t a k a	alibə taka	a l i b ə # t a k a
199	1891	Helfrich & Pieters 1891	15	1891	èamah	Eamah	E a m a h	ɛamah	ɛ a m a h
200	1891	Helfrich & Pieters 1891	15	1891	èamah	Eamah	E a m a h	ɛamah	ɛ a m a h
212	1891	Helfrich & Pieters 1891	16	1891	ama	ama	a m a	ama	a m a
213	1891	Helfrich & Pieters 1891	16	1891	ama	ama	a m a	ama	a m a
228	1891	Helfrich & Pieters 1891	17	1891	afa	afa	a f a	afa	a f a
229	1891	Helfrich & Pieters 1891	17	1891	afa	afa	a f a	afa	a f a
245	1891	Helfrich & Pieters 1891	18	1891	kaik	kaik	k a i k	kaik	k a i k
246	1891	Helfrich & Pieters 1891	18	1891	kaik	kaik	k a i k	kaik	k a i k
263	1891	Helfrich & Pieters 1891	19	1891	èbakĕ	Ebakė	E b a k ė	ɛbakə	ɛ b a k ə
264	1891	Helfrich & Pieters 1891	19	1891	èbaka	Ebaka	E b a k a	ɛbaka	ɛ b a k a
281	1891	Helfrich & Pieters 1891	20	1891	èbakĕkahaök	Ebakėkaha'ok	E b a k ė k a h a 'o k	ɛbakəkahaʔok	ɛ b a k ə k a h a ʔo k
282	1891	Helfrich & Pieters 1891	20	1891	èbakakahaök	Ebakakaha'ok	E b a k a k a h a 'o k	ɛbakakahaʔok	ɛ b a k a k a h a ʔo k
291	1891	Helfrich & Pieters 1891	21	1891	ĕĕ	ėė	ė ė	əə	ə ə
292	1891	Helfrich & Pieters 1891	21	1891	ĕĕ	ėė	ė ė	əə	ə ə
303	1891	Helfrich & Pieters 1891	22	1891	èkijoe	Ekiyu	E k i y u	ɛkiju	ɛ k i j u
304	1891	Helfrich & Pieters 1891	22	1891	èkijoe	Ekiyu	E k i y u	ɛkiju	ɛ k i j u
346	1891	Helfrich & Pieters 1891	27	1891	èfanoe	Efanu	E f a n u	ɛfanu	ɛ f a n u
347	1891	Helfrich & Pieters 1891	27	1891	èpanoe	Epanu	E p a n u	ɛpanu	ɛ p a n u
361	1891	Helfrich & Pieters 1891	28	1891	èara	Eara	E a r a	ɛara	ɛ a r a
362	1891	Helfrich & Pieters 1891	28	1891	èara	Eara	E a r a	ɛara	ɛ a r a
392	1891	Helfrich & Pieters 1891	32	1891	idjo	ijo	i j o	id͡ʒo	i d͡ʒ o
393	1891	Helfrich & Pieters 1891	32	1891	idjo	ijo	i j o	id͡ʒo	i d͡ʒ o
406	1891	Helfrich & Pieters 1891	33	1891	kaa(ĕ)	kaa(ė)	k a a ( ė )	kaa(ə)	k a a ( ə )
407	1891	Helfrich & Pieters 1891	33	1891	kaa(ĕ)	kaa(ė)	k a a ( ė )	kaa(ə)	k a a ( ə )
430	1891	Helfrich & Pieters 1891	36	1891	kaïk taka	ka:u̇k taka	k a:u̇ k # t a k a	kaɨk taka	k aɨ k # t a k a
431	1891	Helfrich & Pieters 1891	36	1891	kaïk taka	ka:u̇k taka	k a:u̇ k # t a k a	kaɨk taka	k aɨ k # t a k a
454	1891	Helfrich & Pieters 1891	39	1891	kaikokok²	kaikoko'	k a i k o k o '	kaikokoʔ	k a i k o k o ʔ
455	1891	Helfrich & Pieters 1891	39	1891	kaikokok²	kaikoko'	k a i k o k o '	kaikokoʔ	k a i k o k o ʔ
471	1891	Helfrich & Pieters 1891	40	1891	kaliehĕ	kalixė	k a l i x ė	kaliçə	k a l i ç ə
472	1891	Helfrich & Pieters 1891	40	1891	karieha	karixa	k a r i x a	kariça	k a r i ç a
485	1891	Helfrich & Pieters 1891	41	1891	kahao	kaha:o	k a h a:o	kahao	k a h ao
486	1891	Helfrich & Pieters 1891	41	1891	kahao	kaha:o	k a h a:o	kahao	k a h ao
493	1891	Helfrich & Pieters 1891	42	1891	kèo	kEo	k E o	kɛo	k ɛ o
494	1891	Helfrich & Pieters 1891	42	1891	kèo	kEo	k E o	kɛo	k ɛ o
510	1891	Helfrich & Pieters 1891	45	1891	kihiamak²	kixiama'	k i x i a m a '	kiçiamaʔ	k i ç i a m a ʔ
511	1891	Helfrich & Pieters 1891	45	1891	kihiamak²	kixiama'	k i x i a m a '	kiçiamaʔ	k i ç i a m a ʔ
518	1891	Helfrich & Pieters 1891	46	1891	koda	koda	k o d a	koda	k o d a
519	1891	Helfrich & Pieters 1891	46	1891	koda	koda	k o d a	koda	k o d a
531	1891	Helfrich & Pieters 1891	47	1891	èkidai	Ekidai	E k i d a i	ɛkidai	ɛ k i d a i
532	1891	Helfrich & Pieters 1891	47	1891	èkidai	Ekidai	E k i d a i	ɛkidai	ɛ k i d a i
547	1891	Helfrich & Pieters 1891	48	1891	kaoerèhjĕ	kaurEhyė	k a u r E h y ė	kaurɛhjə	k a u r ɛ h j ə
548	1891	Helfrich & Pieters 1891	48	1891	kaoerèhjĕ	kaurEhyė	k a u r E h y ė	kaurɛhjə	k a u r ɛ h j ə
560	1891	Helfrich & Pieters 1891	49	1891	èlouboe	Elo:ubu	E l o:u b u	ɛlɔubu	ɛ l ɔu b u
561	1891	Helfrich & Pieters 1891	49	1891	èlouboe	Elo:ubu	E l o:u b u	ɛlɔubu	ɛ l ɔu b u
572	1891	Helfrich & Pieters 1891	50	1891	èbo	Ebo	E b o	ɛbo	ɛ b o
573	1891	Helfrich & Pieters 1891	50	1891	èbo	Ebo	E b o	ɛbo	ɛ b o
589	1891	Helfrich & Pieters 1891	51	1891	èloha	Eloha	E l o h a	ɛloha	ɛ l o h a
590	1891	Helfrich & Pieters 1891	51	1891	èloha	Eloha	E l o h a	ɛloha	ɛ l o h a
602	1891	Helfrich & Pieters 1891	52	1891	minoe afĕ	minu afė	m i n u # a f ė	minu afə	m i n u # a f ə
603	1891	Helfrich & Pieters 1891	52	1891	minoe apo	minu apo	m i n u # a p o	minu apo	m i n u # a p o
608	1891	Helfrich & Pieters 1891	53	1891	kamoni	kamoni	k a m o n i	kamoni	k a m o n i
609	1891	Helfrich & Pieters 1891	53	1891	kamoni	kamoni	k a m o n i	kamoni	k a m o n i
628	1891	Helfrich & Pieters 1891	57	1891	énoewĕ	enuwė	e n u w ė	enuwə	e n u w ə
629	1891	Helfrich & Pieters 1891	57	1891	énoewĕ	enuwė	e n u w ė	enuwə	e n u w ə
642	1891	Helfrich & Pieters 1891	58	1891	èjobie	Eyobi	E y o b i	ɛjobi	ɛ j o b i
643	1891	Helfrich & Pieters 1891	58	1891	èjobie	Eyobi	E y o b i	ɛjobi	ɛ j o b i
665	1891	Helfrich & Pieters 1891	61	1891	kabèho	kabEho	k a b E h o	kabɛho	k a b ɛ h o
666	1891	Helfrich & Pieters 1891	61	1891	kabèho	kabEho	k a b E h o	kabɛho	k a b ɛ h o
675	1891	Helfrich & Pieters 1891	62	1891	fafarik	fafarik	f a f a r i k	fafarik	f a f a r i k
676	1891	Helfrich & Pieters 1891	62	1891	paparik	paparik	p a p a r i k	paparik	p a p a r i k
686	1891	Helfrich & Pieters 1891	63	1891	fĕnĕnao	fėnėna:o	f ė n ė n a:o	fənənao	f ə n ə n ao
687	1891	Helfrich & Pieters 1891	63	1891	pĕnĕnao	pėnėna:o	p ė n ė n a:o	pənənao	p ə n ə n ao
694	1891	Helfrich & Pieters 1891	64	1891	èodie	Eodi	E o d i	ɛodi	ɛ o d i
695	1891	Helfrich & Pieters 1891	64	1891	èodie	Eodi	E o d i	ɛodi	ɛ o d i
