Left	Grapheme	Right	Class	Replacement	Frequency
	ch	[iíìeéè]		k	111
	cc	[aàáoòóuúù]		k	8
	Ch	[iíìeéè]		k	1
	c	[aàáoòóuúù]		k	279
	C	[aàáoòóuúù]		k	1
(ai)	h			x	0
(?<!a)i	h			x	18
	gi			c	8
	tg			c	1
	gn			ñ	5
	ae			aːe	11
	aè			aːe	2
	aé			aːe	1
	ai			aːi	34
	aí			aːi	0
	aì			aːi	0
	ei			eːi	12
	eí			eːi	1
	eì			eːi	0
	òí			oːi	0
	òì			oːi	0
	òi			oːi	10
	aò			aːO	0
	ao			aːo	6
	aó			aːo	0
	au			aːu	17
	aú			aːu	3
	aù			aːu	2
	ou			oːu	1
	oú			oːu	0
	où			oːu	0
	 			 	224
	\(			(	2
	\)			)	2
	\.			.	3
	;			;	34
	\[			[	17
	\]			]	17
	²			²	7
	a			a	743
	á			a	50
	à			a	10
	b			b	126
	c			c	9
	C			C	0
	d			d	77
	e			e	304
	é			e	20
	è			E	54
	È			E	1
	ə			ė	3
	f			f	29
	g			j	1
	h			h	195
	i			i	242
	í			i	22
	ì			i	4
	k			k	2
	l			l	68
	m			m	67
	n			n	130
	o			o	291
	ó			o	14
	ò			O	70
	p			p	207
	r			r	100
	ſ			f	0
	t			t	23
	u			u	220
	ú			u	26
	ù			u	2
	w			w	7
