entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
4	1894	Modigliani 1894	1	1894	itcébe	itcebe	i t c e b e	itt͡ʃebe	i t t͡ʃ e b e
12	1894	Modigliani 1894	5	1894	echienia	ekienia	e k i e n i a	ekienia	e k i e n i a
19	1894	Modigliani 1894	8	1894	coda	koda	k o d a	koda	k o d a
28	1894	Modigliani 1894	10	1894	coeue ; cahò ; [chèoba] mahò	koeue ; kahO ; [kEoba] mahO	k o e u e # ; # k a h O # ; # [ k E o b a ] # m a h O	koeue ; kahɔ ; [kɛoba] mahɔ	k o e u e # ; # k a h ɔ # ; # [ k ɛ o b a ] # m a h ɔ
42	1894	Modigliani 1894	18	1894	nuchi pecaia	nuki peka:ia	n u k i # p e k a:i a	nuki pekaia	n u k i # p e k ai a
50	1894	Modigliani 1894	21	1894	chidara	kidara	k i d a r a	kidara	k i d a r a
66	1894	Modigliani 1894	26	1894	bapanena	bapanena	b a p a n e n a	bapanena	b a p a n e n a
76	1894	Modigliani 1894	30	1894	abóha	aboha	a b o h a	aboha	a b o h a
87	1894	Modigliani 1894	32	1894	bodo	bodo	b o d o	bodo	b o d o
93	1894	Modigliani 1894	35	1894	napuaca	napuaka	n a p u a k a	napuaka	n a p u a k a
120	1894	Modigliani 1894	46	1894	pahuna [chideidia]	pahuna [kide:idia]	p a h u n a # [ k i d e:i d i a ]	pahuna [kidɛidia]	p a h u n a # [ k i d ɛi d i a ]
154	1894	Modigliani 1894	58	1894	chèoba nene igidia	kEoba nene icdia	k E o b a # n e n e # i c d i a	kɛoba nene it͡ʃdia	k ɛ o b a # n e n e # i t͡ʃ d i a
157	1894	Modigliani 1894	59	1894	earahaori	earaha:ori	e a r a h a:o r i	earahaori	e a r a h ao r i
178	1894	Modigliani 1894	65	1894	ho abacó	ho abako	h o # a b a k o	ho abako	h o # a b a k o
180	1894	Modigliani 1894	66	1894	ea pica	ea pika	e a # p i k a	ea pika	e a # p i k a
192	1894	Modigliani 1894	70	1894	balalát	balalat	b a l a l a t	balalat	b a l a l a t
193	1894	Modigliani 1894	71	1894	ahi gèbe	ahi jEbe	a h i # j E b e	ahi d͡ʒɛbe	a h i # d͡ʒ ɛ b e
196	1894	Modigliani 1894	72	1894	epò	epO	e p O	epɔ	e p ɔ
212	1894	Modigliani 1894	74	1894	manunuhi	manunuhi	m a n u n u h i	manunuhi	m a n u n u h i
216	1894	Modigliani 1894	75	1894	peeo	peeo	p e e o	peeo	p e e o
253	1894	Modigliani 1894	87	1894	cahapò	kahapO	k a h a p O	kahapɔ	k a h a p ɔ
262	1894	Modigliani 1894	90	1894	ibu	ibu	i b u	ibu	i b u
281	1894	Modigliani 1894	95	1894	abeha	abeha	a b e h a	abeha	a b e h a
294	1894	Modigliani 1894	98	1894	eígio	e:ico	e:i c o	ɛit͡ʃo	ɛi t͡ʃ o
322	1894	Modigliani 1894	107	1894	ebo iaha baèche	ebo iaha ba:eke	e b o # i a h a # b a:e k e	ebo iaha baɛke	e b o # i a h a # b aɛ k e
325	1894	Modigliani 1894	108	1894	baèche	ba:eke	b a:e k e	baɛke	b aɛ k e
343	1894	Modigliani 1894	115	1894	chichía	kikia	k i k i a	kikia	k i k i a
365	1894	Modigliani 1894	120	1894	prururu ipo ; pruru ripodia	prururu ipo ; pruru ripodia	p r u r u r u # i p o # ; # p r u r u # r i p o d i a	prururu ipo ; pruru ripodia	p r u r u r u # i p o # ; # p r u r u # r i p o d i a
370	1894	Modigliani 1894	121	1894	prururu chidía	prururu kidia	p r u r u r u # k i d i a	prururu kidia	p r u r u r u # k i d i a
380	1894	Modigliani 1894	126	1894	odohoda	odohoda	o d o h o d a	odohoda	o d o h o d a
403	1894	Modigliani 1894	135	1894	cahanua	kahanua	k a h a n u a	kahanua	k a h a n u a
408	1894	Modigliani 1894	136	1894	apari echia	apari ekia	a p a r i # e k i a	apari ekia	a p a r i # e k i a
422	1894	Modigliani 1894	143	1894	cahapò	kahapO	k a h a p O	kahapɔ	k a h a p ɔ
435	1894	Modigliani 1894	146	1894	echida ; echiteica ; echitèi	ekida ; ekite:ika ; ekitEi	e k i d a # ; # e k i t e:i k a # ; # e k i t E i	ekida ; ekitɛika ; ekitɛi	e k i d a # ; # e k i t ɛi k a # ; # e k i t ɛ i
450	1894	Modigliani 1894	147	1894	itòpo ; [paúho] tópo ; [ahi]tòpo	itOpo ; [pa:uho] topo ; [ahi]tOpo	i t O p o # ; # [ p a:u h o ] # t o p o # ; # [ a h i ] t O p o	itɔpo ; [pauho] topo ; [ahi]tɔpo	i t ɔ p o # ; # [ p au h o ] # t o p o # ; # [ a h i ] t ɔ p o
473	1894	Modigliani 1894	154	1894	amuho	amuho	a m u h o	amuho	a m u h o
490	1894	Modigliani 1894	157	1894	ena ua	ena ua	e n a # u a	ena ua	e n a # u a
498	1894	Modigliani 1894	158	1894	cheèpa	keEpa	k e E p a	keɛpa	k e ɛ p a
509	1894	Modigliani 1894	159	1894	ecahaba	ekahaba	e k a h a b a	ekahaba	e k a h a b a
514	1894	Modigliani 1894	161	1894	hao	ha:o	h a:o	hao	h ao
525	1894	Modigliani 1894	163	1894	cadahóai	kadahoa:i	k a d a h o a:i	kadahoai	k a d a h o ai
547	1894	Modigliani 1894	166	1894	caani	kaani	k a a n i	kaani	k a a n i
550	1894	Modigliani 1894	167	1894	coro²	koro²	k o r o ²	koro	k o r o
561	1894	Modigliani 1894	171	1894	machene[...]	makene[...]	m a k e n e [ . . . ]	makene[...]	m a k e n e [ . . . ]
566	1894	Modigliani 1894	172	1894	caachitri	kaakitri	k a a k i t r i	kaakitri	k a a k i t r i
601	1894	Modigliani 1894	178	1894	elòha	elOha	e l O h a	elɔha	e l ɔ h a
640	1894	Modigliani 1894	189	1894	eà	ea	e a	ea	e a
667	1894	Modigliani 1894	197	1894	coriáha uápo	koriaha uapo	k o r i a h a # u a p o	koriaha uapo	k o r i a h a # u a p o
670	1894	Modigliani 1894	198	1894	chinaco	kinako	k i n a k o	kinako	k i n a k o
680	1894	Modigliani 1894	202	1894	eapodia	eapodia	e a p o d i a	eapodia	e a p o d i a
687	1894	Modigliani 1894	205	1894	chèoba elà ibudia	kEoba ela ibudia	k E o b a # e l a # i b u d i a	kɛoba ela ibudia	k ɛ o b a # e l a # i b u d i a
693	1894	Modigliani 1894	207	1894	cará	kara	k a r a	kara	k a r a
706	1894	Modigliani 1894	210	1894	chiòha	kiOha	k i O h a	kiɔha	k i ɔ h a
713	1894	Modigliani 1894	212	1894	eápia	eapia	e a p i a	eapia	e a p i a
728	1894	Modigliani 1894	217	1894	ecoco ; coco	ekoko ; koko	e k o k o # ; # k o k o	ekoko ; koko	e k o k o # ; # k o k o
738	1894	Modigliani 1894	220	1894	pecocòbu	pekokObu	p e k o k O b u	pekokɔbu	p e k o k ɔ b u
747	1894	Modigliani 1894	222	1894	chipòro	kipOro	k i p O r o	kipɔro	k i p ɔ r o
771	1894	Modigliani 1894	226	1894	[uuaha] mena ; manà	[uuaha] mena ; mana	[ u u a h a ] # m e n a # ; # m a n a	[uuaha] mena ; mana	[ u u a h a ] # m e n a # ; # m a n a
783	1894	Modigliani 1894	231	1894	ehoari	ehoari	e h o a r i	ehoari	e h o a r i
811	1894	Modigliani 1894	243	1894	cachíco ; bachíco	kakiko ; bakiko	k a k i k o # ; # b a k i k o	kakiko ; bakiko	k a k i k o # ; # b a k i k o
831	1894	Modigliani 1894	251	1894	[iò]chi	[iO]ki	[ i O ] k i	[iɔ]ki	[ i ɔ ] k i
849	1894	Modigliani 1894	255	1894	èoli	Eoli	E o l i	ɛoli	ɛ o l i
863	1894	Modigliani 1894	260	1894	pio² ; epio pio	pio² ; epio pio	p i o ² # ; # e p i o # p i o	pio ; epio pio	p i o # ; # e p i o # p i o
869	1894	Modigliani 1894	261	1894	ahadi	ahadi	a h a d i	ahadi	a h a d i
886	1894	Modigliani 1894	266	1894	noha chia	noha kia	n o h a # k i a	noha kia	n o h a # k i a
939	1894	Modigliani 1894	285	1894	eáo	eao	e a o	eao	e a o
979	1894	Modigliani 1894	301	1894	(e)papa	(e)papa	( e ) p a p a	(e)papa	( e ) p a p a
991	1894	Modigliani 1894	302	1894	eamaha	eamaha	e a m a h a	eamaha	e a m a h a
1014	1894	Modigliani 1894	306	1894	ara ; iara	ara ; iara	a r a # ; # i a r a	ara ; iara	a r a # ; # i a r a
