Left	Grapheme	Right	Class	Replacement
	oe			u
	oé			u
	ie			i
	ié			i
	sj			š
	tj			c
	dj			j
	nj			ñ
	āā			aa
	aā			aa
	āa			aa
	aä			a'a
	-			-
	\(k\)			'
	 			 
	\(			(
	\)			)
	\*			*
	\.			.
	\͜			ː
	;			;
	\?			?
	\[			[
	\]			]
	a			a
	à			a
	ä			ä
	ǎ			ă
	ă			ă
	ā	[^ā]		aa
	å			å
	a͜			a͜
	b			b
	c			c
	d			d
	e			e
	é			E
	è			E
	ê			ė
	ĕ			ė
	ē			ee
	f			f
	g			g
	h			h
	i			i
	ī			i
	j			y
	k			k
	l			l
	m			m
	n			n
	o			O
	ò			O
	ô			O
	ŏ			O
	ō			oo
	p			p
	r			r
	s			s
	t			t
	u			u
	w			w
