Left	Grapheme	Right	Class	Replacement	Frequency
	ŏŏ			O O	13
	oe			u	447
	oé			u	0
	ie			i	134
	ié			i	0
	nj			ñ	3
	sj			š	0
	tj			c	1
	dj			j	31
	āā			a a	13
	aā			a a	1
	āa			a a	1
	aä			a ' a	2
(ie)	h			x	5
(ai)	h			x	0
(?<!a)i	h			x	30
	ā	[^āa]		a a	121
[^āa]	ā			a a	0
	\-			-	13
	\(k\)			'	166
	 			 	409
	\(			(	13
	\)			)	13
	\*			*	1
	\.			.	6
	\͜			ː	1
	;			;	122
	\?			?	2
	\[			[	30
	\]			]	30
	a			a	1056
	à			a	14
	ä			ä	0
	ǎ			ă	1
	ă			ă	33
	å			å	1
	a͜			a͜	0
	b			b	182
	c			k	1
	d			d	155
	e			e	58
	é			E	1
	è			E	517
	ê			ė	2
	ĕ			ė	207
	ē			e e	5
	f			f	180
	g			g	5
	h			h	311
	i			i	367
	ī			i	54
	j			y	108
	k			k	764
	l			l	80
	m			m	121
	n			n	229
	o			O	242
	ò			O	2
	ô			O	1
	ŏ			O	325
	ō			o o	25
	p			p	196
	r			r	140
	s			s	2
	t			t	24
	u			u	17
	w			w	89
