entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
9	1895	Stockhof 1987	1	1895	èhōda	Ehooda	E h oo d a	ɛhoːda	ɛ h oː d a
26	1895	Stockhof 1987	2	1895	èmanī	Emani	E m a n i	ɛmani	ɛ m a n i
46	1895	Stockhof 1987	3	1895	adoewa ; adoewĕ	aduwa ; aduwė	a d u w a # ; # a d u w ė	aduwa ; aduwə	a d u w a # ; # a d u w ə
59	1895	Stockhof 1987	4	1895	adoewĕ takajo kifahoek	aduwė takayO kifahuk	a d u w ė # t a k a y O # k i f a h u k	aduwə takajɔ kifahuk	a d u w ə # t a k a j ɔ # k i f a h u k
68	1895	Stockhof 1987	5	1895	èafŏ	EafO	E a f O	ɛafɔ	ɛ a f ɔ
82	1895	Stockhof 1987	6	1895	ija(k)è	iya'E	i y a ' E	ijaʔɛ	i j a ʔ ɛ
99	1895	Stockhof 1987	7	1895	akoloe	akOlu	a k O l u	akɔlu	a k ɔ l u
120	1895	Stockhof 1987	9	1895	(k)akinĕ ; aki	'akinė ; aki	' a k i n ė # ; # a k i	ʔakinə ; aki	ʔ a k i n ə # ; # a k i
136	1895	Stockhof 1987	10	1895	aliba	aliba	a l i b a	aliba	a l i b a
153	1895	Stockhof 1987	11	1895	ariba adoewĕ	ariba aduwė	a r i b a # a d u w ė	ariba aduwə	a r i b a # a d u w ə
168	1895	Stockhof 1987	12	1895	afai-īafā	afai-iafaa	a f a i - i a f aa	afai-iafaː	a f a i - i a f aː
189	1895	Stockhof 1987	14	1895	alibĕ taka	alibė taka	a l i b ė # t a k a	alibə taka	a l i b ə # t a k a
202	1895	Stockhof 1987	15	1895	èămah	Eămah	E ă m a h	ɛᾰmah	ɛ ᾰ m a h
215	1895	Stockhof 1987	16	1895	ama(na)	ama(na)	a m a ( n a )	ama(na)	a m a ( n a )
231	1895	Stockhof 1987	17	1895	afa	afa	a f a	afa	a f a
248	1895	Stockhof 1987	18	1895	kaik	kaik	k a i k	kaik	k a i k
266	1895	Stockhof 1987	19	1895	èbaka	Ebaka	E b a k a	ɛbaka	ɛ b a k a
284	1895	Stockhof 1987	20	1895	èbaka kahaŏ(k)	Ebaka kahaO'	E b a k a # k a h a O '	ɛbaka kahaɔʔ	ɛ b a k a # k a h a ɔ ʔ
293	1895	Stockhof 1987	21	1895	ĕĕ	ėė	ė ė	əə	ə ə
