Left	Grapheme	Right	Class	Replacement	Phoneme
	\-			-	-
	oeoe			u'u	uʔu
	nj			ñ	ɲ
	tj			c	t͡ʃ
	dj			j	d͡ʒ
[aiueo]	ä			' a	ʔ a
[aiueo]\(	ä			' a	ʔ a
[aiueo]\)	ä			' a	ʔ a
[aiueo]	ö			' o	ʔ o
[aiueo]\(	ö			' o	ʔ o
[aiueo]\)	ö			' o	ʔ o
[^aiueo()]	ö			u̇	ɨ
[^aiueo]\(	ö			u̇	ɨ
[^aiueo]\)	ö			u̇	ɨ
	ää			a ' a	a ʔ a
	qä			' a	ʔ a
	\(q\)ä			( ' ) a	( ʔ ) a
	ié			i	i
	iè			i	i
	oe			u	u
	oè			u	u
	öä			o ' a	o ʔ a
	ïï			i ' i	i ʔ a
	öö			o ' o	o ʔ o
	ä\(ä\)			a ( ' a)	a ( ʔ a)
(ie)	h			x	ç
(ai)	h			x	ç
(?<!a)i	h			x	ç
	 			 	 
	\(			(	(
	\)			)	)
	\/			/	/
	;			;	;
	\?			?	?
	\[			[	[
	\]			]	]
	a			a	a
	á			á	á
	à			a	a
	ā			ā	aː
	ã			ã	ã
	b			b	b
	d			d	d
	e			e	e
	è			E	ɛ
	ĕ			ė	ə
	ě			ė	ə
	f			f	f
	g			g	g
	h			h	h
	i			i	i
	ĩ			ĩ	ĩ
	j			y	j
	k			k	k
	l			l	l
	m			m	m
	n			n	n
	o			o	o
	õ			õ	ɔ͂
	p			p	p
	q			'	ʔ
	r			r	r
	t			t	t
	u			u	u
	w			w	w
