entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
592	1916	Helfrich 1916	51	1916	èloha	Eloha	E l o h a	ɛloha	ɛ l o h a
804	1916	Helfrich 1916	76	1916	èoeba ; èoebĕ	Euba ; Eubė	E u b a # ; # E u b ė	ɛuba ; ɛubə	ɛ u b a # ; # ɛ u b ə
1114	1916	Helfrich 1916	173	1916	(w)abèha	(w)abEha	( w ) a b E h a	(w)abɛha	( w ) a b ɛ h a
1145	1916	Helfrich 1916	182	1916	èononie	Eononie	E o n o n i e	ɛononie	ɛ o n o n i e
1198	1916	Helfrich 1916	198	1916	paroriepo	paroriepo	p a r o r i e p o	paroriepo	p a r o r i e p o
1225	1916	Helfrich 1916	209	1916	hèoemo	hEumo	h E u m o	hɛumo	h ɛ u m o
1265	1916	Helfrich 1916	224	1916	ietopo	ietopo	i e t o p o	ietopo	i e t o p o
1422	1916	Helfrich 1916	260	1916	èkarèpè(h)	EkarEpE(h)	E k a r E p E ( h )	ɛkarɛpɛ(h)	ɛ k a r ɛ p ɛ ( h )
1439	1916	Helfrich 1916	265	1916	èa	Ea	E a	ɛa	ɛ a
1465	1916	Helfrich 1916	273	1916	èkarieha oe(w)apo	Ekariexa u(w)apo	E k a r i e x a # u ( w ) a p o	ɛkarieça u(w)apo	ɛ k a r i e ç a # u ( w ) a p o
1537	1916	Helfrich 1916	296	1916	kipa(ha)koko	kipa(ha)koko	k i p a ( h a ) k o k o	kipa(ha)koko	k i p a ( h a ) k o k o
1688	1916	Helfrich 1916	349	1916	kolè	kolE	k o l E	kolɛ	k o l ɛ
1721	1916	Helfrich 1916	359	1916	meo?	meo?	m e o ?	meo?	m e o ?
1796	1916	Helfrich 1916	381	1916	kidie-kidie	kidie-kidie	k i d i e - k i d i e	kidie-kidie	k i d i e - k i d i e
2027	1916	Helfrich 1916	467	1916	èabo	Eabo	E a b o	ɛabo	ɛ a b o
2029	1916	Helfrich 1916	468	1916	kitou	kitou	k i t o u	kitou	k i t o u
3069	1916	Helfrich 1916	863	1916	koe	ku	k u	ku	k u
3110	1916	Helfrich 1916	877	1916	(è)kahaèq koedodoka ; (è)kaèq koedoroka	(E)kahaE' kudodoka ; (E)kaE' kudoroka	( E ) k a h a E ' # k u d o d o k a # ; # ( E ) k a E ' # k u d o r o k a	(ɛ)kahaɛʔ kudodoka ; (ɛ)kaɛʔ kudoroka	( ɛ ) k a h a ɛ ʔ # k u d o d o k a # ; # ( ɛ ) k a ɛ ʔ # k u d o r o k a
3339	1916	Helfrich 1916	959	1916	kĩpã-pãkõ	kĩpã-pãkõ	k ĩ p ã - p ã k õ	kĩpã-pãkɔ͂	k ĩ p ã - p ã k ɔ͂
3378	1916	Helfrich 1916	969	1916	èdoboe	Edobu	E d o b u	ɛdobu	ɛ d o b u
3449	1916	Helfrich 1916	991	1916	kaäkieniepa ; kaäkieniefĕ ; kaäkienafa	ka'akieniepa ; ka'akieniefė ; ka'akienafa	k a 'a k i e n i e p a # ; # k a 'a k i e n i e f ė # ; # k a 'a k i e n a f a	kaʔakieniepa ; kaʔakieniefə ; kaʔakienafa	k a ʔa k i e n i e p a # ; # k a ʔa k i e n i e f ə # ; # k a ʔa k i e n a f a
3708	1916	Helfrich 1916	1097	1916	kĕmie(j)oe	kėmie(y)u	k ė m i e ( y ) u	kəmie(j)u	k ə m i e ( j ) u
3882	1916	Helfrich 1916	1159	1916	èaäoe	Ea'au	E a 'a u	ɛaʔau	ɛ a ʔa u
3896	1916	Helfrich 1916	1161	1916	kèfoe	kEfu	k E f u	kɛfu	k ɛ f u
3942	1916	Helfrich 1916	1185	1916	èopoe ; èofoe	Eopu ; Eofu	E o p u # ; # E o f u	ɛopu ; ɛofu	ɛ o p u # ; # ɛ o f u
4149	1916	Helfrich 1916	1260	1916	èènono [oepo/oeèpo]	EEnono [upo/uEpo]	E E n o n o # [ u p o / u E p o ]	ɛɛnono [upo/uɛpo]	ɛ ɛ n o n o # [ u p o / u ɛ p o ]
4277	1916	Helfrich 1916	1309	1916	èkèma	EkEma	E k E m a	ɛkɛma	ɛ k ɛ m a
4345	1916	Helfrich 1916	1339	1916	èhèboe	EhEbu	E h E b u	ɛhɛbu	ɛ h ɛ b u
4429	1916	Helfrich 1916	1373	1916	èpa(ä)hona	Epa('a)hona	E p a ( 'a ) h o n a	ɛpa(ʔa)hona	ɛ p a ( ʔa ) h o n a
4440	1916	Helfrich 1916	1379	1916	ma(ä)hona	ma('a)hona	m a ( 'a ) h o n a	ma(ʔa)hona	m a ( ʔa ) h o n a
4454	1916	Helfrich 1916	1383	1916	èie(j)oba ; èie(j)obĕ	Eie(y)oba ; Eie(y)obė	E i e ( y ) o b a # ; # E i e ( y ) o b ė	ɛie(j)oba ; ɛie(j)obə	ɛ i e ( j ) o b a # ; # ɛ i e ( j ) o b ə
4809	1916	Helfrich 1916	1502	1916	koahie(j)a ; koahie(j)ĕ	koahie(y)a ; koahie(y)ė	k o a h i e ( y ) a # ; # k o a h i e ( y ) ė	koahie(j)a ; koahie(j)ə	k o a h i e ( j ) a # ; # k o a h i e ( j ) ə
5032	1916	Helfrich 1916	1593	1916	inima	inima	i n i m a	inima	i n i m a
5310	1916	Helfrich 1916	1712	1916	è	E	E	ɛ	ɛ
5822	1916	Helfrich 1916	1898	1916	èpieho	Epiexo	E p i e x o	ɛpieço	ɛ p i e ç o
5883	1916	Helfrich 1916	1916	1916	pahaèkoe	pahaEku	p a h a E k u	pahaɛku	p a h a ɛ k u
5885	1916	Helfrich 1916	1917	1916	èaoekaā	Eaukaā	E a u k a ā	ɛaukaaː	ɛ a u k a aː
6056	1916	Helfrich 1916	1977	1916	padahèboe(w)a ; fadahèboe(w)ĕ	padahEbu(w)a ; fadahEbu(w)ė	p a d a h E b u ( w ) a # ; # f a d a h E b u ( w ) ė	padahɛbu(w)a ; fadahɛbu(w)ə	p a d a h ɛ b u ( w ) a # ; # f a d a h ɛ b u ( w ) ə
6130	1916	Helfrich 1916	1997	1916	èaoedahohoe	Eaudahohu	E a u d a h o h u	ɛaudahohu	ɛ a u d a h o h u
6493	1916	Helfrich 1916	2146	1916	èpèkoeqwaq ; èpèkoe(w)aq	EpEku'wa' ; EpEku(w)a'	E p E k u ' w a ' # ; # E p E k u ( w ) a '	ɛpɛkuʔwaʔ ; ɛpɛku(w)aʔ	ɛ p ɛ k u ʔ w a ʔ # ; # ɛ p ɛ k u ( w ) a ʔ
6504	1916	Helfrich 1916	2149	1916	èè(j)aq	EE(y)a'	E E ( y ) a '	ɛɛ(j)aʔ	ɛ ɛ ( j ) a ʔ
6620	1916	Helfrich 1916	2195	1916	èowa	Eowa	E o w a	ɛowa	ɛ o w a
6641	1916	Helfrich 1916	2203	1916	maä(h)ko	ma'a(h)ko	m a 'a ( h ) k o	maʔa(h)ko	m a ʔa ( h ) k o
6647	1916	Helfrich 1916	2204	1916	èaä(h)ko	Ea'a(h)ko	E a 'a ( h ) k o	ɛaʔa(h)ko	ɛ a ʔa ( h ) k o
7470	1916	Helfrich 1916	2482	1916	èoema	Euma	E u m a	ɛuma	ɛ u m a
7537	1916	Helfrich 1916	2510	1916	èbie(j)oe	Ebie(y)u	E b i e ( y ) u	ɛbie(j)u	ɛ b i e ( j ) u
