entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
10	1979	Amran et al. 1979	1	1979	hiud	hiud	h i u d	hiud	h i u d
27	1979	Amran et al. 1979	2	1979	eman	eman	e m a n	eman	e m a n
47	1979	Amran et al. 1979	3	1979	aru	aru	a r u	aru	a r u
69	1979	Amran et al. 1979	5	1979	apeke	apeke	a p e k e	apeke	a p e k e
83	1979	Amran et al. 1979	6	1979	healbe	healbe	h e a l b e	healbe	h e a l b e
216	1979	Amran et al. 1979	16	1979	am	am	a m	am	a m
249	1979	Amran et al. 1979	18	1979	kahae	kahae	k a h a e	kahae	k a h a e
267	1979	Amran et al. 1979	19	1979	bak	bak	b a k	bak	b a k
285	1979	Amran et al. 1979	20	1979	bakehe	bakehe	b a k e h e	bakehe	b a k e h e
327	1979	Amran et al. 1979	25	1979	ebe	ebe	e b e	ebe	e b e
350	1979	Amran et al. 1979	27	1979	pan	pan	p a n	pan	p a n
365	1979	Amran et al. 1979	28	1979	ear	ear	e a r	ear	e a r
396	1979	Amran et al. 1979	32	1979	eahid ; ahaitu	eahid ; ahaitu	e a h i d # ; # a h a i t u	eahid ; ahaitu	e a h i d # ; # a h a i t u
410	1979	Amran et al. 1979	33	1979	baa	baa	b a a	baː	b aː
458	1979	Amran et al. 1979	39	1979	kaikoko	kaikoko	k a i k o k o	kaikoko	k a i k o k o
475	1979	Amran et al. 1979	40	1979	karih	karih	k a r i h	karih	k a r i h
497	1979	Amran et al. 1979	42	1979	kea	kea	k e a	kea	k e a
535	1979	Amran et al. 1979	47	1979	kiteike	kiteike	k i t e i k e	kiteike	k i t e i k e
551	1979	Amran et al. 1979	48	1979	kaudaihi	kaudaihi	k a u d a i h i	kaudaihi	k a u d a i h i
576	1979	Amran et al. 1979	50	1979	be	be	b e	be	b e
646	1979	Amran et al. 1979	58	1979	eeubi	eeubi	e e u b i	eːubi	eː u b i
706	1979	Amran et al. 1979	65	1979	eapakaau	eapakaau	e a p a k a a u	eapakaːu	e a p a k aː u
733	1979	Amran et al. 1979	70	1979	purduyur	purduyur	p u r d u y u r	purdujur	p u r d u j u r
752	1979	Amran et al. 1979	72	1979	ekake	ekake	e k a k e	ekake	e k a k e
785	1979	Amran et al. 1979	75	1979	u ; iyeeh	u ; iyeeh	u # ; # i y e e h	u ; ijeːh	u # ; # i j eː h
805	1979	Amran et al. 1979	76	1979	yuba ; yub	yuba ; yub	y u b a # ; # y u b	juba ; jub	j u b a # ; # j u b
821	1979	Amran et al. 1979	77	1979	hyur	hyur	h y u r	hjur	h j u r
879	1979	Amran et al. 1979	98	1979	kiar	kiar	k i a r	kiar	k i a r
909	1979	Amran et al. 1979	108	1979	abeh	abeh	a b e h	abeh	a b e h
934	1979	Amran et al. 1979	118	1979	hi	hi	h i	hi	h i
948	1979	Amran et al. 1979	123	1979	pahu	pahu	p a h u	pahu	p a h u
