Left	Grapheme	Right	Class	Replacement	Phoneme	Frequency
	a̠a̠			a a	aː	1
	aa̠			a a	aː	1
	dj			j	d͡ʒ	1
	o̠o̠			O O	ɔː	4
	uu			u u	uː	1
	ee			e e	eː	1
	õõ			õ õ	ɔ̃ː	1
	ii			i i	iː	1
	̠					27
	-			-	-	12
	 			 	 	41
	(			(	(	6
	)			)	)	6
	:			:	:	1
	;			;	;	20
	a			a	a	82
	ã			ã	ã	5
	a̠			a	a	0
	b			b	b	14
	d			d	d	26
	e			E	ɛ	33
	ē			e e	eː	1
	e̠			E	ɛ	0
	ẽ			ẽ	ɛ̃	2
	ẽ			ẽ	ɛ̃	0
	ẽ̠			ẽ̠	͏ɛ̃	0
	ə			ė	ə	9
	f			f	f	8
	h			h	h	25
	i			i	i	46
	I			i	i	1
	í			í	i	1
	ĩ			ĩ	ĩ	1
	j			y	j	2
	k			k	k	54
	l			l	l	5
	m			m	m	6
	n			n	n	16
	o			O	ɔ	30
	ö			u̇	ɨ	1
	ō			o o	oː	2
	õ			õ	ɔ͂	7
	o̠			O	ɔ	0
	õ̠			õ	ɔ̃	0
	p			p	p	24
	q			'	ʔ	2
	r			r	r	4
	t			t	t	5
	u			u	u	39
	ū			u u	uː	1
	ũ			ũ	ũ	10
	u̠			u	u	0
	w			w	w	1
	ẋ			x	ç	2
	y			y	j	2
	ʔ			'	ʔ	23
