entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
53	1982	Capell 1982	21	1982	kidjera	kijEra	k i j E r a	kid͡ʒɛra	k i d͡ʒ ɛ r a
83	1982	Capell 1982	31	1982	ho̠o̠	hOO	h O O	hɔː	h ɔː
108	1982	Capell 1982	41	1982	hii	hii	h i i	hiː	h iː
133	1982	Capell 1982	51	1982	adie	adiE	a d i E	adiɛ	a d i ɛ
199	1982	Capell 1982	72	1982	föka	fu̇ka	f u̇ k a	fɨka	f ɨ k a
296	1982	Capell 1982	98	1982	eʔitõ	E'itõ	E ' i t õ	ɛʔitɔ͂	ɛ ʔ i t ɔ͂
327	1982	Capell 1982	108	1982	be̠he̠ke̠i	bEhEkEi	b E h E k E i	bɛhɛkɛi	b ɛ h ɛ k ɛ i
344	1982	Capell 1982	115	1982	kikia	kikia	k i k i a	kikia	k i k i a
438	1982	Capell 1982	146	1982	kidai	kidai	k i d a i	kidai	k i d a i
476	1982	Capell 1982	154	1982	ʔamũhõ	'amũhõ	' a m ũ h õ	ʔamũhɔ͂	ʔ a m ũ h ɔ͂
487	1982	Capell 1982	155	1982	adeijə	adEiyė	a d E i y ė	adɛijə	a d ɛ i j ə
501	1982	Capell 1982	158	1982	kēfə ; ekeʔa̠pa̠	keefė ; EkE'apa	k e e f ė # ; # E k E ' a p a	keːfə ; ɛkɛʔapa	k eː f ə # ; # ɛ k ɛ ʔ a p a
540	1982	Capell 1982	165	1982	kaakoho	kaakOhO	k a a k O h O	kaakɔhɔ	k a a k ɔ h ɔ
731	1982	Capell 1982	217	1982	kokə	kOkė	k O k ė	kɔkə	k ɔ k ə
741	1982	Capell 1982	220	1982	koko (I)	kOkO (i)	k O k O # ( i )	kɔkɔ (i)	k ɔ k ɔ # ( i )
776	1982	Capell 1982	227	1982	kipauda	kipauda	k i p a u d a	kipauda	k i p a u d a
837	1982	Capell 1982	252	1982	fōfa	foofa	f o o f a	foːfa	f oː f a
993	1982	Capell 1982	302	1982	ama	ama	a m a	ama	a m a
1017	1982	Capell 1982	306	1982	araʔ	ara'	a r a '	araʔ	a r a ʔ
1025	1982	Capell 1982	307	1982	epa̠a̠	Epaa	E p a a	ɛpaː	ɛ p aː
1076	1982	Capell 1982	322	1982	kanapũ	kanapũ	k a n a p ũ	kanapũ	k a n a p ũ
1146	1982	Capell 1982	350	1982	kaidoho	kaidOhO	k a i d O h O	kaidɔhɔ	k a i d ɔ h ɔ
1174	1982	Capell 1982	356	1982	epo̠o̠	EpOO	E p O O	ɛpɔː	ɛ p ɔː
1230	1982	Capell 1982	380	1982	ai ; kabebai	ai ; kabEbai	a i # ; # k a b E b a i	ai ; kabɛbai	a i # ; # k a b ɛ b a i
1590	1982	Capell 1982	516	1982	kaʔaoa	ka'aOa	k a ' a O a	kaʔaɔa	k a ʔ a ɔ a
1823	1982	Capell 1982	586	1982	dope	dOpE	d O p E	dɔpɛ	d ɔ p ɛ
1862	1982	Capell 1982	594	1982	amənok	amėnOk	a m ė n O k	amənɔk	a m ə n ɔ k
2030	1982	Capell 1982	656	1982	baka	baka	b a k a	baka	b a k a
2115	1982	Capell 1982	682	1982	ama	ama	a m a	ama	a m a
2383	1982	Capell 1982	770	1982	hela	hEla	h E l a	hɛla	h ɛ l a
2605	1982	Capell 1982	838	1982	hũã	hũã	h ũ ã	hũã	h ũ ã
2636	1982	Capell 1982	847	1982	ipũhã	ipũhã	i p ũ h ã	ipũhã	i p ũ h ã
2713	1982	Capell 1982	876	1982	pe	pE	p E	pɛ	p ɛ
2720	1982	Capell 1982	877	1982	bupe ; pe	bupE ; pE	b u p E # ; # p E	bupɛ ; pɛ	b u p ɛ # ; # p ɛ
2760	1982	Capell 1982	890	1982	bupa(ha)	bupa(ha)	b u p a ( h a )	bupa(ha)	b u p a ( h a )
2800	1982	Capell 1982	909	1982	kauwə	kauwė	k a u w ė	kauwə	k a u w ə
2850	1982	Capell 1982	920	1982	ki-dido̠do̠	ki-didOdO	k i - d i d O d O	ki-didɔdɔ	k i - d i d ɔ d ɔ
2954	1982	Capell 1982	956	1982	qapo	'apO	' a p O	ʔapɔ	ʔ a p ɔ
3016	1982	Capell 1982	980	1982	kia	kia	k i a	kia	k i a
3039	1982	Capell 1982	984	1982	ulu ; udu	ulu ; udu	u l u # ; # u d u	ulu ; udu	u l u # ; # u d u
3064	1982	Capell 1982	994	1982	(ki)dehoi ; kipado̠ho̠i	(ki)dEhOi ; kipadOhOi	( k i ) d E h O i # ; # k i p a d O h O i	(ki)dɛhɔi ; kipadɔhɔi	( k i ) d ɛ h ɔ i # ; # k i p a d ɔ h ɔ i
3113	1982	Capell 1982	1008	1982	ʔado̠bu	'adObu	' a d O b u	ʔadɔbu	ʔ a d ɔ b u
3166	1982	Capell 1982	1028	1982	-idia ; -niã	-idia ; -niã	- i d i a # ; # - n i ã	-idia ; -niã	- i d i a # ; # - n i ã
3229	1982	Capell 1982	1049	1982	uba	uba	u b a	uba	u b a
3338	1982	Capell 1982	1076	1982	ʔua	'ua	' u a	ʔua	ʔ u a
3347	1982	Capell 1982	1077	1982	ape̠	apE	a p E	apɛ	a p ɛ
3560	1982	Capell 1982	1163	1982	pudu ; kapuduaʔa ; ipudu ; kipudu	pudu ; kapudua'a ; ipudu ; kipudu	p u d u # ; # k a p u d u a ' a # ; # i p u d u # ; # k i p u d u	pudu ; kapuduaʔa ; ipudu ; kipudu	p u d u # ; # k a p u d u a ʔ a # ; # i p u d u # ; # k i p u d u
3585	1982	Capell 1982	1171	1982	puju	puyu	p u y u	puju	p u j u
3690	1982	Capell 1982	1207	1982	pūnũ	puunũ	p u u n ũ	puːnũ	p uː n ũ
3987	1982	Capell 1982	1321	1982	mani	mani	m a n i	mani	m a n i
4209	1982	Capell 1982	1394	1982	koh(oi)	kOh(Oi)	k O h ( O i )	kɔh(ɔi)	k ɔ h ( ɔ i )
4229	1982	Capell 1982	1399	1982	kaa̠	kaa	k a a	kaː	k aː
4269	1982	Capell 1982	1418	1982	-ʔu	-'u	- ' u	-ʔu	- ʔ u
4293	1982	Capell 1982	1424	1982	niə	niė	n i ė	niə	n i ə
4304	1982	Capell 1982	1425	1982	okahaqe	Okaha'E	O k a h a ' E	ɔkahaʔɛ	ɔ k a h a ʔ ɛ
4379	1982	Capell 1982	1447	1982	nōninə	nooninė	n o o n i n ė	noːninə	n oː n i n ə
4393	1982	Capell 1982	1454	1982	põõ	põõ	p õ õ	pɔ̃ː	p ɔ̃ː
4469	1982	Capell 1982	1471	1982	fanu	fanu	f a n u	fanu	f a n u
4484	1982	Capell 1982	1472	1982	ke̠abaʔa	kEaba'a	k E a b a ' a	kɛabaʔa	k ɛ a b a ʔ a
4584	1982	Capell 1982	1504	1982	kaik	kaik	k a i k	kaik	k a i k
4627	1982	Capell 1982	1525	1982	-dai ; -nãĩ	-dai ; -nãĩ	- d a i # ; # - n ã ĩ	-dai ; -nãĩ	- d a i # ; # - n ã ĩ
4628	1982	Capell 1982	1526	1982	-kaʔa	-ka'a	- k a ' a	-kaʔa	- k a ʔ a
4650	1982	Capell 1982	1537	1982	hũhũ	hũhũ	h ũ h ũ	hũhũ	h ũ h ũ
4745	1982	Capell 1982	1573	1982	kakak ; (e)kaka	kakak ; (E)kaka	k a k a k # ; # ( E ) k a k a	kakak ; (ɛ)kaka	k a k a k # ; # ( ɛ ) k a k a
4791	1982	Capell 1982	1585	1982	eko̠yo̠	EkOyO	E k O y O	ɛkɔjɔ	ɛ k ɔ j ɔ
5403	1982	Capell 1982	1825	1982	lo:ra	lO:ra	l O : r a	lɔ:ra	l ɔ : r a
5514	1982	Capell 1982	1861	1982	bupua(ha) ; toak	bupua(ha) ; tOak	b u p u a ( h a ) # ; # t O a k	bupua(ha) ; tɔak	b u p u a ( h a ) # ; # t ɔ a k
5683	1982	Capell 1982	1913	1982	abaitʔi	abait'i	a b a i t ' i	abaitʔi	a b a i t ʔ i
5719	1982	Capell 1982	1926	1982	kaptuho̠ ; puho̠	kaptuhO ; puhO	k a p t u h O # ; # p u h O	kaptuhɔ ; puhɔ	k a p t u h ɔ # ; # p u h ɔ
5768	1982	Capell 1982	1940	1982	eheku ; kiẋe̠ku̠ ; kiẋẽ̠hẽ̠kũ	EhEku ; kixEku ; kixẽhẽkũ	E h E k u # ; # k i x E k u # ; # k i x ẽ h ẽ k ũ	ɛhɛku ; kiçɛku ; kiçɛ̃hɛ̃kũ	ɛ h ɛ k u # ; # k i ç ɛ k u # ; # k i ç ɛ̃ h ɛ̃ k ũ
5819	1982	Capell 1982	1952	1982	uli	uli	u l i	uli	u l i
5840	1982	Capell 1982	1957	1982	alouhu	alOuhu	a l O u h u	alɔuhu	a l ɔ u h u
5980	1982	Capell 1982	2005	1982	kiõ̠ʔõ̠nõ̠ ; yaʔõ̠nõ̠	kiõ'õnõ ; ya'õnõ	k i õ ' õ n õ # ; # y a ' õ n õ	kiɔ͂ʔɔ͂nɔ͂ ; jaʔɔ͂nɔ͂	k i ɔ͂ ʔ ɔ͂ n ɔ͂ # ; # j a ʔ ɔ͂ n ɔ͂
6008	1982	Capell 1982	2018	1982	itʔi	it'i	i t ' i	itʔi	i t ʔ i
6025	1982	Capell 1982	2028	1982	bo̠he̠	bOhE	b O h E	bɔhɛ	b ɔ h ɛ
6233	1982	Capell 1982	2112	1982	fekuk	fEkuk	f E k u k	fɛkuk	f ɛ k u k
6244	1982	Capell 1982	2115	1982	eʔea	E'Ea	E ' E a	ɛʔɛa	ɛ ʔ ɛ a
6446	1982	Capell 1982	2182	1982	fufuri	fufuri	f u f u r i	fufuri	f u f u r i
6513	1982	Capell 1982	2206	1982	eʔana	E'ana	E ' a n a	ɛʔana	ɛ ʔ a n a
6525	1982	Capell 1982	2211	1982	-da ; -nã	-da ; -nã	- d a # ; # - n ã	-da ; -nã	- d a # ; # - n ã
6553	1982	Capell 1982	2219	1982	ki	ki	k i	ki	k i
7131	1982	Capell 1982	2403	1982	kaidəhaudə	kaidėhaudė	k a i d ė h a u d ė	kaidəhaudə	k a i d ə h a u d ə
7164	1982	Capell 1982	2410	1982	bee ; ebo̠o̠	bee ; EbOO	b e e # ; # E b O O	beː ; ɛbɔː	b eː # ; # ɛ b ɔː
7173	1982	Capell 1982	2412	1982	ʔai	'ai	' a i	ʔai	ʔ a i
7179	1982	Capell 1982	2413	1982	ʔíkaʔa	'íka'a	' í k a ' a	ʔikaʔa	ʔ i k a ʔ a
7374	1982	Capell 1982	2471	1982	iʔo̠o̠	i'OO	i ' O O	iʔɔː	i ʔ ɔː
7402	1982	Capell 1982	2481	1982	hude	hudE	h u d E	hudɛ	h u d ɛ
7512	1982	Capell 1982	2517	1982	ʔoʔo	'O'O	' O ' O	ʔɔʔɔ	ʔ ɔ ʔ ɔ
7521	1982	Capell 1982	2520	1982	adiu ; aduu	adiu ; aduu	a d i u # ; # a d u u	adiu ; aduː	a d i u # ; # a d uː
7555	1982	Capell 1982	2533	1982	-du ; -nũ	-du ; -nũ	- d u # ; # - n ũ	-du ; -nũ	- d u # ; # - n ũ
7559	1982	Capell 1982	2534	1982	-mũ	-mũ	- m ũ	-mũ	- m ũ
