Left	Grapheme	Right	Class	Replacement	Phoneme	Frequency
(ie)	h			x	ç	0
(ai)	h			x	ç	0
(?<!a)i	h			x	ç	6
	ṹ́			ṹ	ṹ	1
	ã́			ã́	ã́	8
	ã̄			ã ã	ãː	1
	á͜			á:	á͜	3
	ã͜			ã:	ã͜	15
	ẽ́			ẽ́	ẽ́	2
	ẽ̄			ẽ ẽ	ẽː	2
	ẽ͜			ẽ:	ẽ͜	1
	ī́			í í	iː	1
	ĩ́			ĩ́	ĩ́	1
	ṍ			ṍ	ɔ̃́	3
	ȭ			õ õ	ɔ̃ː	3
	õ͜			õ:	ɔ̃͜	1
	ū́			ú ú	úː	4
	ṹ			ṹ	ṹ	5
	ũ̀			ũ̀	ũ̀	1
	\(			(	(	40
	\)			)	)	40
	\/			/	/	4
	\?			?	?	1
	\[			[	[	12
	\]			]	]	12
	\<			<	<	3
	á			á	á	22
	ā			a a	aː	20
	ã			ã	ã	290
	a͜			a:	a͜	44
	é			é	é	9
	è			E	ɛ	1
	ē			e e	eː	6
	ẽ			ẽ	ẽ	120
	ẽ			ẽ	ẽ	0
	e͜			e:	e͜	2
	ə́			u̇́	ɨ́	11
	ə̃			u̇̃	ə̃	6
	í			í	i	13
	ī			i i	iː	7
	ĩ			ĩ	ĩ	131
	i͜			i:	i͜	1
	ɨ́			u̇́	ɨ́	1
	ɨ̃			u̇̃	ɨ̃	2
	ñ			ñ	ɲ	9
	ó			ó	ó	6
	ō			o o	oː	15
	õ			õ	ɔ͂	125
	o͜			o:	o͜	8
	ú			ú	ú	18
	ū			u u	uː	4
	ũ			ũ	ũ	122
	о̄			o o	oː	2
	'			'	ʔ	7
	-			-	-	303
	́			́	́	0
	̀			̀	̀	0
	̃			̃	̃	0
	̄			̄		0
	ˀ			'	ʔ	1
	 			 	 	334
	:			:	:	3
	;			;	;	128
	~			~	~	1
	’			’	’	1
	͜			:	͜	0
	²			²	²	1
	a			a	a	783
	b			b	b	133
	c			c	t͡ʃ	3
	d			d	d	221
	e			e	e	548
	ə			u̇	ɨ	48
	h			h	h	274
	i			i	i	396
	ɨ			u̇	ɨ	12
	j			j	d͡ʒ	1
	k			k	k	622
	l			l	l	9
	m			m	m	59
	n			n	n	145
	o			o	o	340
	о			o	o	0
	p			p	p	270
	r			r	r	59
	s			s	s	1
	t			t	t	31
	ʧ			c	t͡ʃ	3
	u			u	u	289
	x			x	ç	23
	y			y	j	18
	ʔ			'	ʔ	405
