Left	Grapheme	Right	Class	Replacement	Phoneme
(ie)	h			x	ç
(ai)	h			x	ç
(?<!a)i	h			x	ç
	'			'	ʔ
	-			-	-
	́			́	́
	̀			̀	̀
	̃			̃	̃
	̄			̄	
	ˀ			'	ʔ
	 			 	 
	\(			(	(
	\)			)	)
	\/			/	/
	:			:	:
	;			;	;
	\?			?	?
	\[			[	[
	\]			]	]
	~			~	~
	’			’	’
	\<			<	<
	͜			:	͜
	²			²	²
	a			a	a
	á			á	á
	ā			aa	aː
	ã			ã	ã
	ã́			ã́	ã́
	a͜			a:	a͜
	ã̄			ãã	ãː
	á͜			á:	á͜
	ã͜			ã:	ã͜
	b			b	b
	c			c	t͡ʃ
	d			d	d
	e			e	e
	é			é	é
	è			E	ɛ
	ē			ee	eː
	ẽ			ẽ	ẽ
	ẽ			ẽ	ẽ
	ẽ́			ẽ́	ẽ́
	e͜			e:	e͜
	ẽ̄			ẽẽ	ẽː
	ẽ͜			ẽ:	ẽ͜
	ə			u̇	ɨ
	ə́			u̇́	ɨ̃
	ə̃			ė̃	ə̃
	h			h	h
	i			i	i
	í			í	i
	ī			ii	iː
	ĩ			ĩ	ĩ
	ɨ			u̇	ɨ
	ī́			íí	iː
	ĩ́			ĩ́	ĩ́
	i͜			i:	i͜
	ɨ́			u̇́	ɨ́
	ɨ̃			u̇̃	ɨ̃
	j			j	d͡ʒ
	k			k	k
	l			l	l
	m			m	m
	n			n	n
	ñ			ñ	ɲ
	o			o	o
	о			o	o
	ó			ó	ó
	ō			oo	oː
	õ			õ	ɔ͂
	ṍ			ṍ	ɔ̃́
	o͜			o:	o͜
	ȭ			õõ	õː
	õ͜			õ:	õ͜
	p			p	p
	r			r	r
	s			s	s
	t			t	t
	ʧ			c	t͡ʃ
	u			u	u
	ú			ú	ú
	ū			uu	uː
	ũ			ũ	ũ
	ū́			úú	úː
	ṹ			ṹ	ṹ
	ũ̀			ũ̀	ũ̀
	ṹ́			ṹ	ṹ
	x			x	ç
	y			y	j
	ʔ			'	ʔ
	о̄			oo	oː
