Left	Grapheme	Right	Class	Replacement
(ie)	h			x
(ai)	h			x
(?<!a)i	h			x
	'			'
	-			-
	́			́
	̀			̀
	̃			̃
	̄			̄
	ˀ			'
	 			 
	\(			(
	\)			)
͜	\(			(ː
	\)	͜		ː)
͜	\)			ː)
	\(	͜		(ː
	\/			/
	:			:
	;			;
	\?			?
	\[			[
͜	\[			[ː
	\]	͜		ː]
͜	\]			ː]
	\[	͜		[ː
	\]			]
	~			~
	’			’
	\<			<
	͜	[\(\)\[\]]		
[\(\)\[\]]	͜			
	͜			ː
	²			²
	a			a
	á			á
	ā			a a
	ã			ã
	ã́			ã́
	a͜			aː
	ã̄			ã ã
	á͜			áː
	ã͜			ãː
	b			b
	c			c
	d			d
	e			e
	é			é
	è			E
	ē			e e
	ẽ			ẽ
	ẽ́			ẽ́
	e͜			eː
	ẽ̄			ẽ ẽ
	ẽ͜			ẽː
	ə			u̇
	ə́			u̇́
	ə̃			u̇̃
	h			h
	i			i
	í			í
	ī			i i
	ĩ			ĩ
	ɨ			u̇
	ī́			í í
	ĩ́			ĩ́
	i͜			iː
	ɨ́			u̇́
	ɨ̃			u̇̃
	j			j
	k			k
	l			l
	m			m
	n			n
	ñ			ñ
	o			o
	о			o
	ó			ó
	ō			o o
	õ			õ
	ṍ			ṍ
	o͜			oː
	ȭ			õ õ
	õ͜			õː
	p			p
	r			r
	s			s
	t			t
	ʧ			c
	u			u
	ú			ú
	ū			u u
	ũ			ũ
	ū́			ú ú
	ṹ			ṹ
	ũ̀			ũ̀
	ṹ́			ṹ
	x			x
	y			y
	ʔ			'
	о̄			o o
