Left	Grapheme	Right	Class	Replacement	Frequency
͜	\(			(ː	1
	\)	͜		ː)	0
͜	\)			ː)	2
	\(	͜		(ː	0
͜	\[			[ː	2
	\]	͜		ː]	0
͜	\]			ː]	0
	\[	͜		[ː	0
(ie)	h			x	0
(ai)	h			x	0
(?<!a)i	h			x	6
	͜	[\(\)\[\]]			5
[\(\)\[\]]	͜				0
	ṹ́			ṹ	1
	ã́			ã́	8
	ã̄			ã ã	1
	á͜			áː	3
	ã͜			ãː	14
	ẽ́			ẽ́	2
	ẽ̄			ẽ ẽ	2
	ẽ͜			ẽː	1
	ī́			í í	1
	ĩ́			ĩ́	1
	ṍ			ṍ	3
	ȭ			õ õ	3
	õ͜			õː	1
	ū́			ú ú	4
	ṹ			ṹ	5
	ũ̀			ũ̀	1
	\(			(	39
	\)			)	38
	\/			/	4
	\?			?	1
	\[			[	10
	\]			]	12
	\<			<	3
	á			á	22
	ā			a a	20
	ã			ã	291
	a͜			aː	41
	é			é	9
	è			E	1
	ē			e e	6
	ẽ			ẽ	120
	e͜			eː	2
	ə́			u̇́	11
	ə̃			u̇̃	6
	í			í	13
	ī			i i	7
	ĩ			ĩ	131
	i͜			iː	1
	ɨ́			u̇́	1
	ɨ̃			u̇̃	2
	ñ			ñ	9
	ó			ó	6
	ō			o o	15
	õ			õ	125
	o͜			oː	7
	ú			ú	18
	ū			u u	4
	ũ			ũ	122
	о̄			o o	2
	'			'	7
	-			-	303
	́			́	0
	̀			̀	0
	̃			̃	0
	̄			̄	0
	ˀ			'	1
	 			 	334
	:			:	3
	;			;	128
	~			~	1
	’			’	1
	͜			ː	0
	²			²	1
	a			a	786
	b			b	133
	c			c	3
	d			d	221
	e			e	548
	ə			u̇	48
	h			h	274
	i			i	396
	ɨ			u̇	12
	j			j	1
	k			k	622
	l			l	9
	m			m	59
	n			n	145
	o			o	341
	о			o	0
	p			p	270
	r			r	59
	s			s	1
	t			t	31
	ʧ			c	3
	u			u	289
	x			x	23
	y			y	18
	ʔ			'	405
