entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
12	1987	Kähler 1987	1	1987K	ehuda	ehuda	e h u d a	ehuda	e h u d a
29	1987	Kähler 1987	2	1987K	ẽ-mãnĩ	ẽ-mãnĩ	ẽ - m ã n ĩ	ẽ-mãnĩ	ẽ - m ã n ĩ
48	1987	Kähler 1987	3	1987K	ʔadua ; ʔarua ; ʔalua	'adua ; 'arua ; 'alua	' a d u a # ; # ' a r u a # ; # ' a l u a	ʔadua ; ʔarua ; ʔalua	ʔ a d u a # ; # ʔ a r u a # ; # ʔ a l u a
71	1987	Kähler 1987	5	1987K	e-ʔapo	e-'apo	e - ' a p o	e-ʔapo	e - ʔ a p o
84	1987	Kähler 1987	6	1987K	eae	eae	e a e	eae	e a e
100	1987	Kähler 1987	7	1987K	ʔakodu ; ʔakoru	'akodu ; 'akoru	' a k o d u # ; # ' a k o r u	ʔakodu ; ʔakoru	ʔ a k o d u # ; # ʔ a k o r u
121	1987	Kähler 1987	9	1987K	ʔãkĩãkĩnã	'ãkĩãkĩnã	' ã k ĩ ã k ĩ n ã	ʔãkĩãkĩnã	ʔ ã k ĩ ã k ĩ n ã
137	1987	Kähler 1987	10	1987K	ʔadiba	'adiba	' a d i b a	ʔadiba	ʔ a d i b a
154	1987	Kähler 1987	11	1987K	ʔadiba hī ʔadua	'adiba hii 'adua	' a d i b a # h ii # ' a d u a	ʔadiba hiː ʔadua	ʔ a d i b a # h iː # ʔ a d u a
169	1987	Kähler 1987	12	1987K	ʔáopa hī ʔáopa	'áopa hii 'áopa	' á o p a # h ii # ' á o p a	ʔáopa hiː ʔáopa	ʔ á o p a # h iː # ʔ á o p a
190	1987	Kähler 1987	14	1987K	ʔadiba ekaka	'adiba ekaka	' a d i b a # e k a k a	ʔadiba ekaka	ʔ a d i b a # e k a k a
204	1987	Kähler 1987	15	1987K	ẽ-ãmãhã	ẽ-ãmãhã	ẽ - ã m ã h ã	ẽ-ãmãhã	ẽ - ã m ã h ã
218	1987	Kähler 1987	16	1987K	ãmã	ãmã	ã m ã	ãmã	ã m ã
232	1987	Kähler 1987	17	1987K	ʔáopa	'áopa	' á o p a	ʔáopa	ʔ á o p a
251	1987	Kähler 1987	18	1987K	kahaiʔi	kahai'i	k a h a i ' i	kahaiʔi	k a h a i ʔ i
269	1987	Kähler 1987	19	1987K	e-baka	e-baka	e - b a k a	e-baka	e - b a k a
286	1987	Kähler 1987	20	1987K	e-baka u-kahaʔo	e-baka u-kaha'o	e - b a k a # u - k a h a ' o	e-baka u-kahaʔo	e - b a k a # u - k a h a ʔ o
307	1987	Kähler 1987	22	1987K	e-kiu	e-kiu	e - k i u	e-kiu	e - k i u
319	1987	Kähler 1987	24	1987K	kabahedi	kabahedi	k a b a h e d i	kabahedi	k a b a h e d i
328	1987	Kähler 1987	25	1987K	e-boo	e-boo	e - b o o	e-boo	e - b o o
337	1987	Kähler 1987	26	1987K	kĩnõõ	kĩnõõ	k ĩ n õ õ	kĩnɔ͂ɔ͂	k ĩ n ɔ͂ ɔ͂
352	1987	Kähler 1987	27	1987K	ẽ-pãnũ	ẽ-pãnũ	ẽ - p ã n ũ	ẽ-pãnũ	ẽ - p ã n ũ
367	1987	Kähler 1987	28	1987K	eara ; eada	eara ; eada	e a r a # ; # e a d a	eara ; eada	e a r a # ; # e a d a
384	1987	Kähler 1987	31	1987K	kab-éʔeu	kab-é'eu	k a b - é ' e u	kab-éʔeu	k a b - é ʔ e u
397	1987	Kähler 1987	32	1987K	k-itɨ	k-itu̇	k - i t u̇	k-itɨ	k - i t ɨ
412	1987	Kähler 1987	33	1987K	ka-ʔao	ka-'ao	k a - ' a o	ka-ʔao	k a - ʔ a o
