Left	Grapheme	Right	Class	Replacement	Frequency
k	h			ʰ	27
d	h			ʰ	8
(ie)	h			x	0
(ai)	h			x	0
(?<!a)i	h			x	8
	ūū			u u	10
	ēē			ė ė	4
	ĒĒ			E E	4
	īī			i i	4
	āā			a a	2
	ã͜			ãː	0
	aw			aːu	4
	aa			a a	3
	uu			u u	1
	ii			i i	6
	kʰ			kʰ	8
	\-			-	1
	\;			;	4
	\[			[	2
	\]			]	2
	\‘			'	17
	ā			ā	3
	ã			ã	1
	ē			ė	48
	Ē			ė	6
	ī			ī	0
	ĩ			ĩ	0
	ō			O	1
	õ			õ	0
	s̄			x	1
	S̄			x	1
	ū			u	1
	'			'	43
	 			 	12
	a			a	261
	b			b	40
	d			d	36
	e			e	23
	E			E	74
	g			g	2
	h			h	94
	ʰ			ʰ	0
	i			i	87
	k			k	159
	m			m	31
	n			n	72
	ŋ			ng	5
	o			o	68
	p			p	87
	q			'	116
	r			r	48
	s			s	4
	t			t	29
	u			u	78
	w			w	9
	y			y	47
	ʔ			'	2
