entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
13	1987	Kasim et al. 1987	1	1987	[kakh] iudh	[kakʰ] iudʰ	[ k a k ʰ ] # i u d ʰ	[kakʰ] iudʰ	[ k a k ʰ ] # i u d ʰ
14	1987	Kasim et al. 1987	1	1987	[kakh] iudh	[kakʰ] iudʰ	[ k a k ʰ ] # i u d ʰ	[kakʰ] iudʰ	[ k a k ʰ ] # i u d ʰ
30	1987	Kasim et al. 1987	2	1987	kakh man	kakʰ man	k a k ʰ # m a n	kakʰ man	k a k ʰ # m a n
31	1987	Kasim et al. 1987	2	1987	kakh man	kakʰ man	k a k ʰ # m a n	kakʰ man	k a k ʰ # m a n
49	1987	Kasim et al. 1987	3	1987	arūū	aruu	a r u u	aruː	a r uː
50	1987	Kasim et al. 1987	3	1987	arūū	aruu	a r u u	aruː	a r uː
72	1987	Kasim et al. 1987	5	1987	Eaq	Ea'	E a '	ɛaʔ	ɛ a ʔ
73	1987	Kasim et al. 1987	5	1987	Eaq	Ea'	E a '	ɛaʔ	ɛ a ʔ
85	1987	Kasim et al. 1987	6	1987	E'aa	E'aa	E ' a a	ɛʔaː	ɛ ʔ aː
86	1987	Kasim et al. 1987	6	1987	E'aa	E'aa	E ' a a	ɛʔaː	ɛ ʔ aː
101	1987	Kasim et al. 1987	7	1987	akēēt	akėėt	a k ė ė t	akəːt	a k əː t
102	1987	Kasim et al. 1987	7	1987	akēēt	akėėt	a k ė ė t	akəːt	a k əː t
138	1987	Kasim et al. 1987	10	1987	arip	arip	a r i p	arip	a r i p
139	1987	Kasim et al. 1987	10	1987	arip	arip	a r i p	arip	a r i p
191	1987	Kasim et al. 1987	14	1987	kakakhratus	kakakʰratus	k a k a k ʰ r a t u s	kakakʰratus	k a k a k ʰ r a t u s
192	1987	Kasim et al. 1987	14	1987	kahakʰratus	kahakʰratus	k a h a kʰ r a t u s	kahakʰratus	k a h a kʰ r a t u s
233	1987	Kasim et al. 1987	17	1987	aop	aop	a o p	aop	a o p
234	1987	Kasim et al. 1987	17	1987	aop	aop	a o p	aop	a o p
252	1987	Kasim et al. 1987	18	1987	kahakh	kahakʰ	k a h a k ʰ	kahakʰ	k a h a k ʰ
253	1987	Kasim et al. 1987	18	1987	kahakh	kahakʰ	k a h a k ʰ	kahakʰ	k a h a k ʰ
270	1987	Kasim et al. 1987	19	1987	bakh	bakʰ	b a k ʰ	bakʰ	b a k ʰ
271	1987	Kasim et al. 1987	19	1987	bakh	bakʰ	b a k ʰ	bakʰ	b a k ʰ
287	1987	Kasim et al. 1987	20	1987	bakahaq	bakaha'	b a k a h a '	bakahaʔ	b a k a h a ʔ
288	1987	Kasim et al. 1987	20	1987	bakahaq	bakaha'	b a k a h a '	bakahaʔ	b a k a h a ʔ
294	1987	Kasim et al. 1987	21	1987	ēq	ė'	ė '	əʔ	ə ʔ
308	1987	Kasim et al. 1987	22	1987	ki	ki	k i	ki	k i
309	1987	Kasim et al. 1987	22	1987	kiē	kiė	k i ė	kiə	k i ə
329	1987	Kasim et al. 1987	25	1987	Ebe	Ebe	E b e	ɛbe	ɛ b e
330	1987	Kasim et al. 1987	25	1987	Ebe	Ebe	E b e	ɛbe	ɛ b e
353	1987	Kasim et al. 1987	27	1987	paŋ	pang	p a ng	paŋ	p a ŋ
354	1987	Kasim et al. 1987	27	1987	panum	panum	p a n u m	panum	p a n u m
368	1987	Kasim et al. 1987	28	1987	‘ya	'ya	' y a	ʔja	ʔ j a
369	1987	Kasim et al. 1987	28	1987	‘yaā	'yaā	' y a ā	ʔja	ʔ j a
398	1987	Kasim et al. 1987	32	1987	kahit	kahit	k a h i t	kahit	k a h i t
399	1987	Kasim et al. 1987	32	1987	kahit	kahit	k a h i t	kahit	k a h i t
413	1987	Kasim et al. 1987	33	1987	kaqa	ka'a	k a ' a	kaʔa	k a ʔ a
414	1987	Kasim et al. 1987	33	1987	kaqa	ka'a	k a ' a	kaʔa	k a ʔ a
460	1987	Kasim et al. 1987	39	1987	kaqtop	ka'top	k a ' t o p	kaʔtop	k a ʔ t o p
461	1987	Kasim et al. 1987	39	1987	kaqtop	ka'top	k a ' t o p	kaʔtop	k a ʔ t o p
477	1987	Kasim et al. 1987	40	1987	karih	karix	k a r i x	kariç	k a r i ç
478	1987	Kasim et al. 1987	40	1987	karih	karix	k a r i x	kariç	k a r i ç
499	1987	Kasim et al. 1987	42	1987	kEq	kE'	k E '	kɛʔ	k ɛ ʔ
500	1987	Kasim et al. 1987	42	1987	kEq	kE'	k E '	kɛʔ	k ɛ ʔ
523	1987	Kasim et al. 1987	46	1987	kēdh	kėdʰ	k ė d ʰ	kədʰ	k ə d ʰ
524	1987	Kasim et al. 1987	46	1987	kēdh	kėdʰ	k ė d ʰ	kədʰ	k ə d ʰ
538	1987	Kasim et al. 1987	47	1987	kita	kita	k i t a	kita	k i t a
539	1987	Kasim et al. 1987	47	1987	kita	kita	k i t a	kita	k i t a
552	1987	Kasim et al. 1987	48	1987	kaqdEh	ka'dEh	k a ' d E h	kaʔdɛh	k a ʔ d ɛ h
553	1987	Kasim et al. 1987	48	1987	kaqdEh	ka'dEh	k a ' d E h	kaʔdɛh	k a ʔ d ɛ h
579	1987	Kasim et al. 1987	50	1987	bē	bė	b ė	bə	b ə
580	1987	Kasim et al. 1987	50	1987	bē	bė	b ė	bə	b ə
631	1987	Kasim et al. 1987	57	1987	kanu	kanu	k a n u	kanu	k a n u
632	1987	Kasim et al. 1987	57	1987	kanu	kanu	k a n u	kanu	k a n u
648	1987	Kasim et al. 1987	58	1987	Eēp	Eėp	E ė p	ɛəp	ɛ ə p
649	1987	Kasim et al. 1987	58	1987	Eēp	Eėp	E ė p	ɛəp	ɛ ə p
735	1987	Kasim et al. 1987	70	1987	yur	yur	y u r	jur	j u r
736	1987	Kasim et al. 1987	70	1987	yur	yur	y u r	jur	j u r
755	1987	Kasim et al. 1987	72	1987	kakh	kakʰ	k a k ʰ	kakʰ	k a k ʰ
