entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
7	2011	Yoder 2011	1	2011	ʔi-tem	'i-tEm	' i - t E m	ʔi-tɛm	ʔ i - t ɛ m
10	2011	Yoder 2011	3	2011	ken	kEn	k E n	kɛn	k ɛ n
30	2011	Yoder 2011	10	2011	kããh	kããh	k ã ã h	kããh	k ã ã h
57	2011	Yoder 2011	21	2011	kiar	kiar	k i a r	kiar	k i a r
61	2011	Yoder 2011	24	2011	nahai	naha:i	n a h a:i	nahai	n a h ai
69	2011	Yoder 2011	27	2011	ki-kãʔũ	ki-kã'ũ	k i - k ã ' ũ	ki-kãʔũ	k i - k ã ʔ ũ
72	2011	Yoder 2011	29	2011	pahnamik	pahnamik	p a h n a m i k	pahnamik	p a h n a m i k
81	2011	Yoder 2011	30	2011	ʔabɨx	'abu̇x	' a b u̇ x	ʔabɨç	ʔ a b ɨ ç
85	2011	Yoder 2011	31	2011	ho	ho	h o	ho	h o
111	2011	Yoder 2011	42	2011	kiʔaru	ki'aru	k i ' a r u	kiʔaru	k i ʔ a r u
122	2011	Yoder 2011	46	2011	pahu	pahu	p a h u	pahu	p a h u
165	2011	Yoder 2011	61	2011	ʔarop	'arop	' a r o p	ʔarop	ʔ a r o p
186	2011	Yoder 2011	68	2011	naʔau	na'a:u	n a ' a:u	naʔau	n a ʔ au
203	2011	Yoder 2011	72	2011	paix ; pɨ̃ʔ	pa:ix ; pu̇̃'	p a:i x # ; # p u̇ ̃ '	paiç ; pɨ̃ʔ	p ai ç # ; # p ɨ ̃ ʔ
257	2011	Yoder 2011	88	2011	kũk	kũk	k ũ k	kũk	k ũ k
271	2011	Yoder 2011	93	2011	nene	nEnE	n E n E	nɛnɛ	n ɛ n ɛ
286	2011	Yoder 2011	95	2011	ʔabeh	'abEh	' a b E h	ʔabɛh	ʔ a b ɛ h
298	2011	Yoder 2011	98	2011	ʔit	'it	' i t	ʔit	ʔ i t
301	2011	Yoder 2011	100	2011	kapareak	kaparEak	k a p a r E a k	kaparɛak	k a p a r ɛ a k
310	2011	Yoder 2011	103	2011	kuaʔ	kua'	k u a '	kuaʔ	k u a ʔ
329	2011	Yoder 2011	108	2011	ʔek	'Ek	' E k	ʔɛk	ʔ ɛ k
335	2011	Yoder 2011	111	2011	ʔɘmduparauʔ	'ėmdupara:u'	' ė m d u p a r a:u '	ʔəmduparauʔ	ʔ ə m d u p a r au ʔ
336	2011	Yoder 2011	112	2011	pah-bɘ	pah-bė	p a h - b ė	pah-bə	p a h - b ə
346	2011	Yoder 2011	115	2011	kiki	kiki	k i k i	kiki	k i k i
350	2011	Yoder 2011	116	2011	iok	iok	i o k	iok	i o k
384	2011	Yoder 2011	127	2011	ioʔhoe	io'hoE	i o ' h o E	ioʔhoɛ	i o ʔ h o ɛ
387	2011	Yoder 2011	128	2011	ʔamahai	'amaha:i	' a m a h a:i	ʔamahai	ʔ a m a h ai
392	2011	Yoder 2011	130	2011	bix	bix	b i x	biç	b i ç
402	2011	Yoder 2011	134	2011	hare	harE	h a r E	harɛ	h a r ɛ
406	2011	Yoder 2011	135	2011	kahenu	kahEnu	k a h E n u	kahɛnu	k a h ɛ n u
442	2011	Yoder 2011	146	2011	kita	kita	k i t a	kita	k i t a
454	2011	Yoder 2011	147	2011	ʔi-top	'i-top	' i - t o p	ʔi-top	ʔ i - t o p
459	2011	Yoder 2011	148	2011	kudiʔ	kudi'	k u d i '	kudiʔ	k u d i ʔ
462	2011	Yoder 2011	149	2011	bakaʔaur	baka'a:ur	b a k a ' a:u r	bakaʔaur	b a k a ʔ au r
471	2011	Yoder 2011	153	2011	ʔanɨʔ	'anu̇'	' a n u̇ '	ʔanɨʔ	ʔ a n ɨ ʔ
480	2011	Yoder 2011	154	2011	ʔamuh	'amuh	' a m u h	ʔamuh	ʔ a m u h
492	2011	Yoder 2011	157	2011	naua	na:ua	n a:u a	naua	n au a
505	2011	Yoder 2011	158	2011	keʔep	kE'Ep	k E ' E p	kɛʔɛp	k ɛ ʔ ɛ p
519	2011	Yoder 2011	161	2011	(ki-)hau	(ki-)ha:u	( k i - ) h a:u	(ki-)hau	( k i - ) h au
521	2011	Yoder 2011	162	2011	ka-hiken	ka-hikEn	k a - h i k E n	ka-hikɛn	k a - h i k ɛ n
528	2011	Yoder 2011	163	2011	kaʔ-dɨhɨ̯ai	ka'-du̇hu̯̇a:i	k a ' - d u̇ h u̇ ̯ a:i	kaʔ-dɨhɨai	k a ʔ - d ɨ h ɨ ai
544	2011	Yoder 2011	165	2011	kaʔ-kɘ̃h	ka'-kė̃h	k a ' - k ė ̃ h	kaʔ-kə̃h	k a ʔ - k ə ̃ h
572	2011	Yoder 2011	172	2011	kiak	kiak	k i a k	kiak	k i a k
580	2011	Yoder 2011	173	2011	ʔa-po	'a-po	' a - p o	ʔa-po	ʔ a - p o
604	2011	Yoder 2011	178	2011	dohoa	dohoa	d o h o a	dohoa	d o h o a
614	2011	Yoder 2011	181	2011	karah	karah	k a r a h	karah	k a r a h
624	2011	Yoder 2011	184	2011	ka-dit	ka-dit	k a - d i t	ka-dit	k a - d i t
625	2011	Yoder 2011	185	2011	iaʔkeʔei	ia'kE'e:i	i a ' k E ' e:i	iaʔkɛʔɛi	i a ʔ k ɛ ʔ ɛi
629	2011	Yoder 2011	186	2011	ka-rep	ka-rEp	k a - r E p	ka-rɛp	k a - r ɛ p
634	2011	Yoder 2011	187	2011	pur	pur	p u r	pur	p u r
648	2011	Yoder 2011	189	2011	(ʔe)ʔea	('E)'Ea	( ' E ) ' E a	(ʔɛ)ʔɛa	( ʔ ɛ ) ʔ ɛ a
653	2011	Yoder 2011	191	2011	ʔohmeʔ	'ohmE'	' o h m E '	ʔohmɛʔ	ʔ o h m ɛ ʔ
689	2011	Yoder 2011	206	2011	nanaiaʔ	nana:ia'	n a n a:i a '	nanaiaʔ	n a n ai a ʔ
700	2011	Yoder 2011	208	2011	ka-kɘi ; ka-kɘ	ka-kė:i ; ka-kė	k a - k ė:i # ; # k a - k ė	ka-kəi ; ka-kə	k a - k əi # ; # k a - k ə
704	2011	Yoder 2011	209	2011	pa-kanaʔ	pa-kana'	p a - k a n a '	pa-kanaʔ	p a - k a n a ʔ
715	2011	Yoder 2011	212	2011	kah-ʔapɨaʔ ; ka-puʔ	kah-'apu̇a' ; ka-pu'	k a h - ' a p u̇ a ' # ; # k a - p u '	kah-ʔapɨaʔ ; ka-puʔ	k a h - ʔ a p ɨ a ʔ # ; # k a - p u ʔ
733	2011	Yoder 2011	217	2011	kok	kok	k o k	kok	k o k
751	2011	Yoder 2011	222	2011	hãpɘ̃ʔ ; kah-pɘʔ	hãpė̃' ; kah-pė'	h ã p ė ̃ ' # ; # k a h - p ė '	hãpə̃ʔ ; kah-pəʔ	h ã p ə ̃ ʔ # ; # k a h - p ə ʔ
759	2011	Yoder 2011	224	2011	kome	komE	k o m E	komɛ	k o m ɛ
766	2011	Yoder 2011	225	2011	ka-nik	ka-nik	k a - n i k	ka-nik	k a - n i k
774	2011	Yoder 2011	226	2011	naʔ	na'	n a '	naʔ	n a ʔ
785	2011	Yoder 2011	231	2011	iɨhɨan	iu̇hu̇an	i u̇ h u̇ a n	iɨhɨan	i ɨ h ɨ a n
798	2011	Yoder 2011	237	2011	ʔũ	'ũ	' ũ	ʔũ	ʔ ũ
808	2011	Yoder 2011	241	2011	duduk	duduk	d u d u k	duduk	d u d u k
852	2011	Yoder 2011	255	2011	ʔɘr ; kir-dɘr ; ba-bɘr ; kir-bɘr	'ėr ; kir-dėr ; ba-bėr ; kir-bėr	' ė r # ; # k i r - d ė r # ; # b a - b ė r # ; # k i r - b ė r	ʔər ; kir-dər ; ba-bər ; kir-bər	ʔ ə r # ; # k i r - d ə r # ; # b a - b ə r # ; # k i r - b ə r
879	2011	Yoder 2011	263	2011	pɨhɨaʔ	pu̇hu̇a'	p u̇ h u̇ a '	pɨhɨaʔ	p ɨ h ɨ a ʔ
887	2011	Yoder 2011	267	2011	ianome	ianomE	i a n o m E	ianomɛ	i a n o m ɛ
892	2011	Yoder 2011	270	2011	ki-dadaʔɨɘh	ki-dada'u̇ėh	k i - d a d a ' u̇ ė h	ki-dadaʔɨəh	k i - d a d a ʔ ɨ ə h
914	2011	Yoder 2011	278	2011	ba	ba	b a	ba	b a
921	2011	Yoder 2011	279	2011	ki-koh ; kɘ	ki-koh ; kė	k i - k o h # ; # k ė	ki-koh ; kə	k i - k o h # ; # k ə
924	2011	Yoder 2011	280	2011	ʔa-ioiaʔ	'a-io:ia'	' a - i o:i a '	ʔa-iɔiaʔ	ʔ a - i ɔi a ʔ
936	2011	Yoder 2011	284	2011	mea	mEa	m E a	mɛa	m ɛ a
953	2011	Yoder 2011	293	2011	kitaha	kitaha	k i t a h a	kitaha	k i t a h a
957	2011	Yoder 2011	295	2011	kakeʔep	kakE'Ep	k a k E ' E p	kakɛʔɛp	k a k ɛ ʔ ɛ p
971	2011	Yoder 2011	299	2011	ka-karai	ka-kara:i	k a - k a r a:i	ka-karai	k a - k a r ai
982	2011	Yoder 2011	301	2011	pap	pap	p a p	pap	p a p
996	2011	Yoder 2011	303	2011	mama	mama	m a m a	mama	m a m a
998	2011	Yoder 2011	304	2011	ki-mama	ki-mama	k i - m a m a	ki-mama	k i - m a m a
1027	2011	Yoder 2011	307	2011	(ka)pa	(ka)pa	( k a ) p a	(ka)pa	( k a ) p a
1042	2011	Yoder 2011	310	2011	dadɘ	dadė	d a d ė	dadə	d a d ə
1050	2011	Yoder 2011	311	2011	kĩʔ	kĩ'	k ĩ '	kĩʔ	k ĩ ʔ
1063	2011	Yoder 2011	316	2011	ʔa-kenah	'a-kEnah	' a - k E n a h	ʔa-kɛnah	ʔ a - k ɛ n a h
1064	2011	Yoder 2011	317	2011	kiʔ-kẽʔ	ki'-kẽ'	k i ' - k ẽ '	kiʔ-kɛ̃ʔ	k i ʔ - k ɛ̃ ʔ
1066	2011	Yoder 2011	318	2011	nukoʔ	nuko'	n u k o '	nukoʔ	n u k o ʔ
1068	2011	Yoder 2011	319	2011	porpiʔ	porpi'	p o r p i '	porpiʔ	p o r p i ʔ
1078	2011	Yoder 2011	322	2011	kãp	kãp	k ã p	kãp	k ã p
1109	2011	Yoder 2011	333	2011	ʔer	'Er	' E r	ʔɛr	ʔ ɛ r
1112	2011	Yoder 2011	335	2011	buber	bubEr	b u b E r	bubɛr	b u b ɛ r
1113	2011	Yoder 2011	336	2011	der	dEr	d E r	dɛr	d ɛ r
1120	2011	Yoder 2011	339	2011	bak kahaʔ	bak kaha'	b a k # k a h a '	bak kahaʔ	b a k # k a h a ʔ
1123	2011	Yoder 2011	340	2011	ka	ka	k a	ka	k a
1125	2011	Yoder 2011	341	2011	ka-bak	ka-bak	k a - b a k	ka-bak	k a - b a k
1128	2011	Yoder 2011	342	2011	ʔeaka	'Eaka	' E a k a	ʔɛaka	ʔ ɛ a k a
1152	2011	Yoder 2011	351	2011	ki-mɘmɘi	ki-mėmė:i	k i - m ė m ė:i	ki-məməi	k i - m ə m əi
1154	2011	Yoder 2011	352	2011	teke	tEkE	t E k E	tɛkɛ	t ɛ k ɛ
1161	2011	Yoder 2011	355	2011	hẽõk	hẽõk	h ẽ õ k	hɛ̃ɔ͂k	h ɛ̃ ɔ͂ k
1176	2011	Yoder 2011	356	2011	po	po	p o	po	p o
1205	2011	Yoder 2011	368	2011	ĩɘ̃h	ĩė̃h	ĩ ė ̃ h	ĩə̃h	ĩ ə ̃ h
