Left	Grapheme	Right	Class	Replacement	Phoneme	Frequency
	\'			'	ʔ	199
	 			 	 	104
	̃			̃	̃	3
	̇			̇	̇	1
	\(			(	(	9
	\)			)	)	9
	;			;	;	32
	\[			[	[	7
	\]			]	]	7
	a			a	a	577
	ã			ã	ã	43
	b			b	b	106
	c			c	t͡ʃ	7
	d			d	d	81
	e			e	e	183
	ė			ė	ә	170
	ẽ			ẽ	ẽ	44
	ė̃			ė̃	ə̃	0
	ė̃			ė̃	ə̃	0
	ẽ̇			ė̃	ə̃	0
	h			h	h	229
	i			i	i	338
	I			I	i	1
	ĩ			ĩ	ĩ	33
	k			k	k	564
	l			l	l	1
	m			m	m	68
	n			n	n	153
	o			o	o	163
	õ			õ	ɔ͂	31
	p			p	p	182
	r			r	r	133
	t			t	t	48
	u			u	u	159
	ũ			ũ	ũ	25
	v			v	v	1
	w			w	w	9
	y			y	j	108
