entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
16	2019	Aron 2019	1	2019	hiėd	hiėd	h i ė d	hiәd	h i ә d
33	2019	Aron 2019	2	2019	eman	eman	e m a n	eman	e m a n
52	2019	Aron 2019	3	2019	aru	aru	a r u	aru	a r u
104	2019	Aron 2019	7	2019	akėr	akėr	a k ė r	akәr	a k ә r
123	2019	Aron 2019	9	2019	akiakin	akiakin	a k i a k i n	akiakin	a k i a k i n
141	2019	Aron 2019	10	2019	arib	arib	a r i b	arib	a r i b
156	2019	Aron 2019	11	2019	arib hiaru	arib hiaru	a r i b # h i a r u	arib hiaru	a r i b # h i a r u
171	2019	Aron 2019	12	2019	apai'op	apai'op	a p a i ' o p	apaiʔop	a p a i ʔ o p
194	2019	Aron 2019	14	2019	kahaik datuh	kahaik datuh	k a h a i k # d a t u h	kahaik datuh	k a h a i k # d a t u h
236	2019	Aron 2019	17	2019	aup	aup	a u p	aup	a u p
255	2019	Aron 2019	18	2019	kahaik	kahaik	k a h a i k	kahaik	k a h a i k
273	2019	Aron 2019	19	2019	ebak	ebak	e b a k	ebak	e b a k
296	2019	Aron 2019	21	2019	ė'k	ė'k	ė ' k	әʔk	ә ʔ k
311	2019	Aron 2019	22	2019	kiu	kiu	k i u	kiu	k i u
356	2019	Aron 2019	27	2019	epan	epan	e p a n	epan	e p a n
386	2019	Aron 2019	31	2019	kabe'	kabe'	k a b e '	kabeʔ	k a b e ʔ
401	2019	Aron 2019	32	2019	itė	itė	i t ė	itә	i t ә
416	2019	Aron 2019	33	2019	ka'a ; [ho] ba'a	ka'a ; [ho] ba'a	k a ' a # ; # [ h o ] # b a ' a	kaʔa ; [ho] baʔa	k a ʔ a # ; # [ h o ] # b a ʔ a
436	2019	Aron 2019	36	2019	kahi kak	kahi kak	k a h i # k a k	kahi kak	k a h i # k a k
443	2019	Aron 2019	37	2019	ka'pa ; kapa kapa	ka'pa ; kapa kapa	k a ' p a # ; # k a p a # k a p a	kaʔpa ; kapa kapa	k a ʔ p a # ; # k a p a # k a p a
463	2019	Aron 2019	39	2019	ka'tok	ka'tok	k a ' t o k	kaʔtok	k a ʔ t o k
480	2019	Aron 2019	40	2019	karih	karih	k a r i h	karih	k a r i h
502	2019	Aron 2019	42	2019	ke(o)	ke(o)	k e ( o )	ke(o)	k e ( o )
514	2019	Aron 2019	45	2019	kihiyam	kihiyam	k i h i y a m	kihijam	k i h i j a m
541	2019	Aron 2019	47	2019	kita	kita	k i t a	kita	k i t a
555	2019	Aron 2019	48	2019	ka'daih	ka'daih	k a ' d a i h	kaʔdaih	k a ʔ d a i h
564	2019	Aron 2019	49	2019	dauoh	dauoh	d a u o h	dauoh	d a u o h
582	2019	Aron 2019	50	2019	ebė ; ebe	ebė ; ebe	e b ė # ; # e b e	ebә ; ebe	e b ә # ; # e b e
595	2019	Aron 2019	51	2019	doha [nuik]	doha [nuik]	d o h a # [ n u i k ]	doha [nuik]	d o h a # [ n u i k ]
613	2019	Aron 2019	53	2019	kamėn	kamėn	k a m ė n	kamәn	k a m ә n
634	2019	Aron 2019	57	2019	kanė	kanė	k a n ė	kanә	k a n ә
651	2019	Aron 2019	58	2019	yėb	yėb	y ė b	jәb	j ә b
659	2019	Aron 2019	59	2019	õ	õ	õ	ɔ͂	ɔ͂
670	2019	Aron 2019	61	2019	kabeh	kabeh	k a b e h	kabeh	k a b e h
681	2019	Aron 2019	62	2019	pari	pari	p a r i	pari	p a r i
700	2019	Aron 2019	64	2019	kahėd ; kahėr	kahėd ; kahėr	k a h ė d # ; # k a h ė r	kahәd ; kahәr	k a h ә d # ; # k a h ә r
738	2019	Aron 2019	70	2019	pururu	pururu	p u r u r u	pururu	p u r u r u
758	2019	Aron 2019	72	2019	ekak	ekak	e k a k	ekak	e k a k
791	2019	Aron 2019	75	2019	u	u	u	u	u
809	2019	Aron 2019	76	2019	yu	yu	y u	ju	j u
827	2019	Aron 2019	77	2019	yur	yur	y u r	jur	j u r
835	2019	Aron 2019	78	2019	iteb	iteb	i t e b	iteb	i t e b
837	2019	Aron 2019	80	2019	bak kareb	bak kareb	b a k # k a r e b	bak kareb	b a k # k a r e b
859	2019	Aron 2019	88	2019	kã'ãh	kã'ãh	k ã ' ã h	kãʔãh	k ã ʔ ã h
885	2019	Aron 2019	98	2019	kitėr	kitėr	k i t ė r	kitәr	k i t ә r
889	2019	Aron 2019	101	2019	nahai	nahai	n a h a i	nahai	n a h a i
897	2019	Aron 2019	104	2019	kĩkã'ũ	kĩkã'ũ	k ĩ k ã ' ũ	kĩkãʔũ	k ĩ k ã ʔ ũ
898	2019	Aron 2019	105	2019	kipahki'ė	kipahki'ė	k i p a h k i ' ė	kipahkiʔә	k i p a h k i ʔ ә
900	2019	Aron 2019	106	2019	kipahnamik	kipahnamik	k i p a h n a m i k	kipahnamik	k i p a h n a m i k
913	2019	Aron 2019	108	2019	abėh	abėh	a b ė h	abәh	a b ә h
937	2019	Aron 2019	118	2019	he	he	h e	he	h e
950	2019	Aron 2019	123	2019	kipahu	kipahu	k i p a h u	kipahu	k i p a h u
994	2019	Aron 2019	139	2019	yarop	yarop	y a r o p	jarop	j a r o p
1016	2019	Aron 2019	146	2019	na'(a)u	na'(a)u	n a ' ( a ) u	naʔ(a)u	n a ʔ ( a ) u
1033	2019	Aron 2019	150	2019	ẽpė' ; epė̃	ẽpė' ; epė̃	ẽ p ė ' # ; # e p ė ̃	ẽpәʔ ; epә̃	ẽ p ә ʔ # ; # e p ә ̃
1068	2019	Aron 2019	160	2019	kahode [man]	kahode [man]	k a h o d e # [ m a n ]	kahode [man]	k a h o d e # [ m a n ]
