entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
86	2023	Zakaria et al. 2023	31	2023	ho	ho	h o	ho	h o
240	2023	Zakaria et al. 2023	82	2023	kaho	kaho	k a h o	kaho	k a h o
249	2023	Zakaria et al. 2023	85	2023	keh	keh	k e h	keh	k e h
369	2023	Zakaria et al. 2023	120	2023	por(d)oip	por(d)oip	p o r ( d ) o i p	por(d)oip	p o r ( d ) o i p
444	2023	Zakaria et al. 2023	146	2023	kita	kita	k i t a	kita	k i t a
456	2023	Zakaria et al. 2023	147	2023	i top	i top	i # t o p	i top	i # t o p
461	2023	Zakaria et al. 2023	148	2023	kudi'	kudi'	k u d i '	kudiʔ	k u d i ʔ
507	2023	Zakaria et al. 2023	158	2023	ke'ep	ke'ep	k e ' e p	keʔep	k e ʔ e p
530	2023	Zakaria et al. 2023	163	2023	kadėhai	kadėhai	k a d ė h a i	kadәhai	k a d ә h a i
546	2023	Zakaria et al. 2023	165	2023	kakė̃h	kakė̃h	k a k ė ̃ h	kakә̃h	k a k ә ̃ h
564	2023	Zakaria et al. 2023	171	2023	ka’ken bak	ka’ken bak	k a ’ k e n # b a k	ka’ken bak	k a ’ k e n # b a k
574	2023	Zakaria et al. 2023	172	2023	kiak	kiak	k i a k	kiak	k i a k
606	2023	Zakaria et al. 2023	178	2023	doha	doha	d o h a	doha	d o h a
650	2023	Zakaria et al. 2023	189	2023	e'ea	e'ea	e ' e a	eʔea	e ʔ e a
702	2023	Zakaria et al. 2023	208	2023	kibuh bakė	kibuh bakė	k i b u h # b a k ė	kibuh bakә	k i b u h # b a k ә
881	2023	Zakaria et al. 2023	263	2023	pihia'	pihia'	p i h i a '	pihiaʔ	p i h i a ʔ
938	2023	Zakaria et al. 2023	284	2023	mea	mea	m e a	mea	m e a
955	2023	Zakaria et al. 2023	293	2023	kitaha	kitaha	k i t a h a	kitaha	k i t a h a
959	2023	Zakaria et al. 2023	295	2023	ka ke'ep	ka ke'ep	k a # k e ' e p	ka keʔep	k a # k e ʔ e p
984	2023	Zakaria et al. 2023	301	2023	pap	pap	p a p	pap	p a p
1021	2023	Zakaria et al. 2023	306	2023	year	year	y e a r	jear	j e a r
1029	2023	Zakaria et al. 2023	307	2023	pa	pa	p a	pa	p a
1034	2023	Zakaria et al. 2023	308	2023	pamo	pamo	p a m o	pamo	p a m o
1319	2023	Zakaria et al. 2023	412	2023	kun	kun	k u n	kun	k u n
1332	2023	Zakaria et al. 2023	415	2023	ẽ'ẽh	ẽ'ẽh	ẽ ' ẽ h	ẽʔẽh	ẽ ʔ ẽ h
1340	2023	Zakaria et al. 2023	416	2023	kem	kem	k e m	kem	k e m
1345	2023	Zakaria et al. 2023	417	2023	kũ	kũ	k ũ	kũ	k ũ
1692	2023	Zakaria et al. 2023	546	2023	be	be	b e	be	b e
1829	2023	Zakaria et al. 2023	586	2023	dop	dop	d o p	dop	d o p
2007	2023	Zakaria et al. 2023	651	2023	kupe'	kupe'	k u p e '	kupeʔ	k u p e ʔ
2660	2023	Zakaria et al. 2023	855	2023	parur	parur	p a r u r	parur	p a r u r
2806	2023	Zakaria et al. 2023	909	2023	ka'o	ka'o	k a ' o	kaʔo	k a ʔ o
2856	2023	Zakaria et al. 2023	920	2023	dėr	dėr	d ė r	dәr	d ә r
2862	2023	Zakaria et al. 2023	921	2023	adahu̇d ; arahu̇r	adahu̇d ; arahu̇r	a d a h u ̇ d # ; # a r a h u ̇ r	adahu̇d ; arahu̇r	a d a h u ̇ d # ; # a r a h u ̇ r
3145	2023	Zakaria et al. 2023	1021	2023	a’inu’	a’inu’	a ’ i n u ’	a’inu’	a ’ i n u ’
3149	2023	Zakaria et al. 2023	1022	2023	a’ikin	a’ikin	a ’ i k i n	a’ikin	a ’ i k i n
3450	2023	Zakaria et al. 2023	1111	2023	kihiam	kihiam	k i h i a m	kihiam	k i h i a m
3499	2023	Zakaria et al. 2023	1135	2023	yė̃p	yė̃p	y ė ̃ p	jә̃p	j ә ̃ p
3736	2023	Zakaria et al. 2023	1222	2023	a’inu’	a’inu’	a ’ i n u ’	a’inu’	a ’ i n u ’
3953	2023	Zakaria et al. 2023	1304	2023	paic	paic	p a i c	pait͡ʃ	p a i t͡ʃ
4013	2023	Zakaria et al. 2023	1324	2023	mėk	mėk	m ė k	mәk	m ә k
4996	2023	Zakaria et al. 2023	1676	2023	kanih	kanih	k a n i h	kanih	k a n i h
5000	2023	Zakaria et al. 2023	1677	2023	kã'ĩ	kã'ĩ	k ã ' ĩ	kãʔĩ	k ã ʔ ĩ
5004	2023	Zakaria et al. 2023	1678	2023	pã'ĩ	pã'ĩ	p ã ' ĩ	pãʔĩ	p ã ʔ ĩ
