CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	BOOKTITLE	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TITLE	TYPE	VOLUME	YEAR	URL	URLDATE	DOI	COLLABORATOR	LANGID	ABSTRACT	KEYWORDS	ISBN
BOOK	Stokhof_and_Almanar1987	Canberra, A.C.T., Australia	NA	Stokhof, W. A. L. ; Almanar, Alma E.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dept. of Linguistics, Research School of Pacific Studies, The Australian National University	NA	Pacific {{Linguistics}} ({{Series D}})	Holle Lists, Vocabularies in Languages of Indonesia, Vol. 10/3: Islands off the West Coast of Sumatra	NA	Materials in Languages of Indonesia	1987	http://hdl.handle.net/1885/144589	NA	NA	NA	NA	NA	NA	NA
BOOK	AmranEtAl1979	Jakarta	NA	Amran, Frieda ; Madjid, J. Emmed ; Karim, Muljawan ; Sulistinah, Sri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Fakultas Sastra, Universitas Indonesia	NA	NA	Etnografi Penduduk Pulau Enggano: Sebuah Laporan Sementara	NA	NA	1979	https://lib.ui.ac.id/m/detail.jsp?id = 20229144&lokasi = lokal	2024-05-17	NA	NA	NA	NA	NA	NA
ARTICLE	Boewang1854	NA	NA	Boewang, Djoeragan	NA	NA	NA	NA	NA	NA	NA	Tijdschrift voor Indische Taal-, Land-en Volkenkunde	NA	NA	NA	NA	NA	379--393	NA	NA	NA	Verslag Omtrent Het Eiland Enggano	NA	2	1854	https://books.google.co.id/books?id = 7_BAAAAAcAAJ&pg = PA379&hl = id&source = gbs_toc_r&cad = 2#v = onepage&q&f = false	NA	NA	NA	NA	NA	NA	NA
UNPUBLISHED	BrouwerPre1855	NA	NA	Brouwer, D. J.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Woordenlijst van Het Weinige Door de Inlanders Op Engano Te Barhao Ons Medegedeelde Der Enganeesche Taal	Unpublished Manuscript	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INCOLLECTION	Capell1982	Berlin	NA	Capell, Arthur	GAVA': Studien Zu Austronesischen Sprachen Und Kulturen Hans Kähler Gewidmet	NA	NA	NA	Carle, Rainer	NA	NA	NA	NA	NA	NA	NA	NA	1--15	Reimer	NA	NA	Bezirkssprachen Im Gebiet Im Gebiet Des UAN	NA	NA	1982	https://glottolog.org/resource/reference/id/61949	NA	NA	NA	NA	NA	NA	NA
MISC	ZakariaEtAl2022	NA	NA	Zakaria, Engga ; Sosiowati, I Gusti Ayu Gde ; Sukarini, Ni Wayan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARADISEC	NA	NA	Enggano Wordlist	NA	NA	2022	https://doi.org/10.26278/R0N1-BG13	2024-07-18	10.26278/R0N1-BG13	Edwards, Owen	NA	NA	NA	NA
UNPUBLISHED	Francis1870	NA	NA	Francis, R.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Woordenlijstje Der Enganeesche Taal	Unpublished Manuscript	NA	1870	NA	NA	NA	NA	NA	NA	NA	NA
ARTICLE	Helfrich1888	NA	NA	Helfrich, Oscar Louis	NA	NA	NA	NA	NA	NA	NA	Tijdschrift van het Koninklijk Nederlandsch Aardrijkskundig Genootschap	NA	NA	NA	NA	NA	272--314	NA	NA	NA	De Eilandgroep Engano	NA	5	1888	https://search.worldcat.org/title/13169944	NA	NA	NA	NA	NA	NA	NA
ARTICLE	Helfrich_and_Pieters1891	NA	NA	Helfrich, Oscar Louis ; Pieters, J. A. J. C.	NA	NA	NA	NA	NA	NA	NA	Tijdschrift voor Indische Taal-, Land- en Volkenkunde	NA	NA	NA	NA	NA	539--623, 228--233	NA	NA	NA	Proeve van Een Maleisch-Nederlansch-Engganeesch Woordenlijst	NA	34, 35	1891, 1893	https://books.google.co.id/books?id = sxNJAAAAMAAJ&pg = PA539&hl = id&source = gbs_toc_r&cad = 2#v = onepage&q&f = false	NA	NA	NA	NA	NA	NA	NA
ARTICLE	Helfrich1916	Leiden, The Netherlands	NA	Helfrich, Oscar Louis	NA	NA	NA	NA	NA	NA	NA	Bijdragen tot de taal-, land- en volkenkund	NA	NA	NA	1	NA	472--555	Brill	NA	NA	Nadere Bijdrage Tot de Kennis van Het Engganeesch	NA	71	1916	https://doi.org/10.1163/22134379-90001719	NA	10.1163/22134379-90001719	NA	NA	NA	NA	NA
